case_id,alpha_run,sam_run,key_factor_jaccard,recommendation_jaccard,alpha_key_tags,sam_key_tags,alpha_recommendation_tags,sam_recommendation_tags
case_01,1,1,0.5,0.7143,repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,1,2,0.75,0.125,repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,1,3,1.0,0.5714,repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,1,4,1.0,0.2857,repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,1,5,1.0,0.4286,repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,2,1,0.8333,0.4286,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,2,2,0.5,0.1667,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,2,3,0.3333,0.5,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,2,4,0.3333,0.4,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,2,5,0.3333,0.6,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
