case_id,run_index,factor,alpha_label,sam_label,changed,alpha_insufficient,sam_insufficient
case_01,1,trunk_overflexion,Yes,Yes,False,False,False
case_01,1,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_01,1,upper_arm_elevation,Yes,Yes,False,False,False
case_01,1,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_01,1,knee_overflexion,No,No,False,False,False
case_01,1,prolonged_static_posture,No,No,False,False,False
case_01,1,repetitive_work,Yes,Yes,False,False,False
case_01,2,trunk_overflexion,Yes,Yes,False,False,False
case_01,2,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_01,2,upper_arm_elevation,Yes,Yes,False,False,False
case_01,2,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_01,2,knee_overflexion,Yes,No,True,False,False
case_01,2,prolonged_static_posture,No,No,False,False,False
case_01,2,repetitive_work,Yes,Yes,False,False,False
case_01,3,trunk_overflexion,Yes,Yes,False,False,False
case_01,3,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_01,3,upper_arm_elevation,Yes,Yes,False,False,False
case_01,3,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_01,3,knee_overflexion,No,Yes,True,False,False
case_01,3,prolonged_static_posture,No,No,False,False,False
case_01,3,repetitive_work,Yes,Yes,False,False,False
case_01,4,trunk_overflexion,Yes,Yes,False,False,False
case_01,4,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_01,4,upper_arm_elevation,Yes,Yes,False,False,False
case_01,4,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_01,4,knee_overflexion,Yes,No,True,False,False
case_01,4,prolonged_static_posture,No,No,False,False,False
case_01,4,repetitive_work,Yes,Yes,False,False,False
case_01,5,trunk_overflexion,Yes,Yes,False,False,False
case_01,5,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_01,5,upper_arm_elevation,Yes,Yes,False,False,False
case_01,5,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_01,5,knee_overflexion,No,Yes,True,False,False
case_01,5,prolonged_static_posture,No,No,False,False,False
case_01,5,repetitive_work,Insufficient evidence,Yes,True,True,False
case_02,1,trunk_overflexion,Yes,Yes,False,False,False
case_02,1,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_02,1,upper_arm_elevation,Yes,Yes,False,False,False
case_02,1,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_02,1,knee_overflexion,No,Yes,True,False,False
case_02,1,prolonged_static_posture,Yes,Yes,False,False,False
case_02,1,repetitive_work,Yes,Yes,False,False,False
case_02,2,trunk_overflexion,Yes,Yes,False,False,False
case_02,2,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_02,2,upper_arm_elevation,Yes,Yes,False,False,False
case_02,2,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_02,2,knee_overflexion,No,Yes,True,False,False
case_02,2,prolonged_static_posture,Yes,Yes,False,False,False
case_02,2,repetitive_work,Yes,Yes,False,False,False
case_02,3,trunk_overflexion,Yes,Yes,False,False,False
case_02,3,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_02,3,upper_arm_elevation,Yes,Yes,False,False,False
case_02,3,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_02,3,knee_overflexion,No,Yes,True,False,False
case_02,3,prolonged_static_posture,Yes,Yes,False,False,False
case_02,3,repetitive_work,Yes,Yes,False,False,False
case_02,4,trunk_overflexion,Yes,Yes,False,False,False
case_02,4,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_02,4,upper_arm_elevation,Yes,Yes,False,False,False
case_02,4,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_02,4,knee_overflexion,Yes,Yes,False,False,False
case_02,4,prolonged_static_posture,Yes,Yes,False,False,False
case_02,4,repetitive_work,Yes,Yes,False,False,False
case_02,5,trunk_overflexion,Yes,Yes,False,False,False
case_02,5,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_02,5,upper_arm_elevation,Yes,Yes,False,False,False
case_02,5,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_02,5,knee_overflexion,Yes,Yes,False,False,False
case_02,5,prolonged_static_posture,Yes,Yes,False,False,False
case_02,5,repetitive_work,Yes,Yes,False,False,False
case_03,1,trunk_overflexion,Yes,Yes,False,False,False
case_03,1,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_03,1,upper_arm_elevation,Yes,Yes,False,False,False
case_03,1,wrist_deviation,Insufficient evidence,Yes,True,True,False
case_03,1,knee_overflexion,Yes,Insufficient evidence,True,False,True
case_03,1,prolonged_static_posture,Yes,No,True,False,False
case_03,1,repetitive_work,Yes,Yes,False,False,False
case_03,2,trunk_overflexion,Yes,Yes,False,False,False
case_03,2,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
case_03,2,upper_arm_elevation,Yes,Yes,False,False,False
