condition,sequence,manifest_rows,prepared_rows,missing_rows,angle_csv,repetition_jsonl
alphapose_motionbert,MansoryBrickLaying_00,1662,1662,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/MansoryBrickLaying_00_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/MansoryBrickLaying_00.jsonl
alphapose_motionbert,MansoryBrickLaying_01,3828,3828,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/MansoryBrickLaying_01_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/MansoryBrickLaying_01.jsonl
alphapose_motionbert,MansoryBrickLaying_02,7257,7257,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/MansoryBrickLaying_02_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/MansoryBrickLaying_02.jsonl
alphapose_motionbert,MansoryCement_02,5112,5112,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/MansoryCement_02_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/MansoryCement_02.jsonl
alphapose_motionbert,RebarPlacement_00,8508,8508,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/RebarPlacement_00_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/RebarPlacement_00.jsonl
alphapose_motionbert,RebarTying_01,1699,1699,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/RebarTying_01_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/RebarTying_01.jsonl
alphapose_motionbert,RebarTying_02,1918,1918,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/RebarTying_02_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/RebarTying_02.jsonl
alphapose_motionbert,WallPlacement_00,10507,10507,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/alphapose_motionbert/WallPlacement_00_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/alphapose_motionbert/WallPlacement_00.jsonl
sam3db,MansoryBrickLaying_00,1662,1662,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/MansoryBrickLaying_00_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/MansoryBrickLaying_00.jsonl
sam3db,MansoryBrickLaying_01,3828,3828,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/MansoryBrickLaying_01_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/MansoryBrickLaying_01.jsonl
sam3db,MansoryBrickLaying_02,7257,7257,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/MansoryBrickLaying_02_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/MansoryBrickLaying_02.jsonl
sam3db,MansoryCement_02,5112,5111,1,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/MansoryCement_02_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/MansoryCement_02.jsonl
sam3db,RebarPlacement_00,8508,8508,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/RebarPlacement_00_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/RebarPlacement_00.jsonl
sam3db,RebarTying_01,1699,1699,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/RebarTying_01_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/RebarTying_01.jsonl
sam3db,RebarTying_02,1918,1918,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/RebarTying_02_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/RebarTying_02.jsonl
sam3db,WallPlacement_00,10507,10507,0,<private_workspace>/configuration_analysis/m1_config/inputs/shared_angle_csv/sam3db/WallPlacement_00_angle.csv,<private_workspace>/configuration_analysis/m1_config/inputs/repetition_jsonl/sam3db/WallPlacement_00.jsonl
