comparison,case_id,source_run,full_run,key_factor_jaccard,recommendation_jaccard,source_key_tags,full_key_tags,source_recommendation_tags,full_recommendation_tags
rgb_only_vs_full_module2,case_01,1,1,0.2,0.25,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,1,2,0.2,0.0,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,1,3,0.4,0.0,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_static_exposure
rgb_only_vs_full_module2,case_01,1,4,0.4,0.25,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,reduce_repetition_or_add_recovery,mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,1,5,0.2,0.0,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,2,1,0.5,0.2,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,2,2,0.5,0.0,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,2,3,0.75,0.0,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_static_exposure
rgb_only_vs_full_module2,case_01,2,4,0.75,0.2,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,2,5,0.5,0.0,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,3,1,0.4,0.1667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,3,2,0.4,0.0,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,3,3,0.6,0.0,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_static_exposure
rgb_only_vs_full_module2,case_01,3,4,0.6,0.1667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery,mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,3,5,0.4,0.0,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,4,1,0.2,0.2,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,4,2,0.2,0.0,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,reduce_static_exposure
rgb_only_vs_full_module2,case_01,4,3,0.4,0.0,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_static_exposure
rgb_only_vs_full_module2,case_01,4,4,0.4,0.2,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|reduce_static_exposure
rgb_only_vs_full_module2,case_01,4,5,0.2,0.0,prolonged_static_posture|repetitive_work|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,monitoring_feedback_or_training|reduce_repetition_or_add_recovery,reduce_static_exposure
