comparison,case_id,run_index,factor,source_label,full_module2_label,changed,source_insufficient,full_insufficient
rgb_only_vs_full_module2,case_01,1,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,1,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,1,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,1,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,1,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,1,prolonged_static_posture,Insufficient evidence,No,True,True,False
rgb_only_vs_full_module2,case_01,1,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,2,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,2,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,2,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,2,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,2,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,2,prolonged_static_posture,Insufficient evidence,No,True,True,False
rgb_only_vs_full_module2,case_01,2,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,3,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,3,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,3,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,3,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,3,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,3,prolonged_static_posture,Insufficient evidence,No,True,True,False
rgb_only_vs_full_module2,case_01,3,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,4,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,4,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,4,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,4,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,4,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,4,prolonged_static_posture,Insufficient evidence,No,True,True,False
rgb_only_vs_full_module2,case_01,4,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,5,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,5,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,5,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,5,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,5,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_01,5,prolonged_static_posture,Insufficient evidence,No,True,True,False
rgb_only_vs_full_module2,case_01,5,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,prolonged_static_posture,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,1,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,wrist_deviation,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,knee_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,prolonged_static_posture,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,2,repetitive_work,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,3,trunk_overflexion,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,3,neck_overflexion_or_extension,Insufficient evidence,Yes,True,True,False
rgb_only_vs_full_module2,case_02,3,upper_arm_elevation,Insufficient evidence,Yes,True,True,False
