condition_pair,criterion,n_comparisons,mean_left_minus_right_strength,std_left_minus_right_strength,preferred_left_count,preferred_right_count,tie_count,left_condition,right_condition
reba_only_vs_full_module2,clarity,40,-0.5,0.8771,10,30,0,reba_only,full_module2
reba_only_vs_full_module2,coherence,40,-1.0,0.0,0,40,0,reba_only,full_module2
reba_only_vs_full_module2,evidence_grounding,40,-0.125,1.0424,18,22,0,reba_only,full_module2
reba_only_vs_full_module2,overall,40,-1.05,0.2207,0,40,0,reba_only,full_module2
reba_only_vs_full_module2,professionalism,40,-0.9,0.4414,2,38,0,reba_only,full_module2
reba_only_vs_full_module2,relevance,40,-1.025,0.1581,0,40,0,reba_only,full_module2
reba_only_vs_full_module2,usefulness,40,-1.175,0.3848,0,40,0,reba_only,full_module2
rgb_only_vs_full_module2,clarity,40,-0.95,0.3162,1,39,0,rgb_only,full_module2
rgb_only_vs_full_module2,coherence,40,-1.0,0.0,0,40,0,rgb_only,full_module2
rgb_only_vs_full_module2,evidence_grounding,40,-0.425,1.3566,18,22,0,rgb_only,full_module2
rgb_only_vs_full_module2,overall,40,-1.425,0.5006,0,40,0,rgb_only,full_module2
rgb_only_vs_full_module2,professionalism,40,-1.0,0.0,0,40,0,rgb_only,full_module2
rgb_only_vs_full_module2,relevance,40,-1.125,0.3349,0,40,0,rgb_only,full_module2
rgb_only_vs_full_module2,usefulness,40,-1.55,0.5038,0,40,0,rgb_only,full_module2
rgb_only_vs_reba_only,clarity,40,0.3,0.9392,25,13,2,rgb_only,reba_only
rgb_only_vs_reba_only,coherence,40,-0.9,0.4414,2,38,0,rgb_only,reba_only
rgb_only_vs_reba_only,evidence_grounding,40,0.575,0.8738,32,8,0,rgb_only,reba_only
rgb_only_vs_reba_only,overall,40,-1.0,0.0,0,40,0,rgb_only,reba_only
rgb_only_vs_reba_only,professionalism,40,-0.1,0.9819,17,21,2,rgb_only,reba_only
rgb_only_vs_reba_only,relevance,40,-1.0,0.0,0,40,0,rgb_only,reba_only
rgb_only_vs_reba_only,usefulness,40,-1.0,0.0,0,40,0,rgb_only,reba_only
