condition,criterion,n_comparisons,win_rate,loss_rate,tie_rate,mean_signed_preference_strength,std_signed_preference_strength
full_module2,clarity,80,0.8625,0.1375,0.0,0.725,0.6931
full_module2,coherence,80,1.0,0.0,0.0,1.0,0.0
full_module2,evidence_grounding,80,0.55,0.45,0.0,0.275,1.2115
full_module2,overall,80,1.0,0.0,0.0,1.2375,0.4282
full_module2,professionalism,80,0.975,0.025,0.0,0.95,0.3142
full_module2,relevance,80,1.0,0.0,0.0,1.075,0.2651
full_module2,usefulness,80,1.0,0.0,0.0,1.3625,0.4838
reba_only,clarity,80,0.2875,0.6875,0.025,-0.4,0.9085
reba_only,coherence,80,0.475,0.525,0.0,-0.05,1.0051
reba_only,evidence_grounding,80,0.325,0.675,0.0,-0.35,0.9821
reba_only,overall,80,0.5,0.5,0.0,-0.025,1.0431
reba_only,professionalism,80,0.2875,0.6875,0.025,-0.4,0.9085
reba_only,relevance,80,0.5,0.5,0.0,-0.0125,1.0249
reba_only,usefulness,80,0.5,0.5,0.0,-0.0875,1.1273
rgb_only,clarity,80,0.325,0.65,0.025,-0.325,0.9383
rgb_only,coherence,80,0.025,0.975,0.0,-0.95,0.3142
rgb_only,evidence_grounding,80,0.625,0.375,0.0,0.075,1.2404
rgb_only,overall,80,0.0,1.0,0.0,-1.2125,0.4117
rgb_only,professionalism,80,0.2125,0.7625,0.025,-0.55,0.8252
rgb_only,relevance,80,0.0,1.0,0.0,-1.0625,0.2436
rgb_only,usefulness,80,0.0,1.0,0.0,-1.275,0.4493
