comparison_type,comparison,case_id,left_run,right_run,key_factor_jaccard,recommendation_jaccard,left_key_tags,right_key_tags,left_recommendation_tags,right_recommendation_tags
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,1,1,0.3333,0.5,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|reduce_static_exposure,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,1,2,0.75,0.5,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|reduce_static_exposure,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,1,3,0.25,0.5,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture|repetitive_work,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|reduce_static_exposure,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,1,4,0.25,0.6667,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture|repetitive_work,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,1,5,0.6667,0.3333,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture|trunk_overflexion,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|reduce_static_exposure,monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,2,1,0.3333,0.2,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_static_exposure,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,2,2,0.75,0.2,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_static_exposure,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,2,3,0.25,0.2,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture|repetitive_work,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_static_exposure,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,2,4,0.25,0.25,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture|repetitive_work,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_static_exposure,reduce_repetition_or_add_recovery|reduce_static_exposure
input_effect,module2_only__neutral_with_module2_rgb__neutral,case_01,2,5,0.6667,0.1429,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion,prolonged_static_posture|trunk_overflexion,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_static_exposure,monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
