condition_pair,criterion,n_comparisons,mean_left_minus_right_strength,std_left_minus_right_strength,preferred_left_count,preferred_right_count,tie_count,left_condition,right_condition
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,clarity,40,0.125,0.3349,5,0,35,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,coherence,40,0.7,0.6076,31,3,6,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,evidence_grounding,40,-0.325,0.9167,12,25,3,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,overall,40,0.625,0.7403,31,6,3,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,professionalism,40,0.075,0.4168,5,2,33,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,relevance,40,-0.725,0.5057,1,30,9,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__bounded_context_augmented_vs_module2_rgb__bounded_context_augmented,usefulness,40,0.6,0.7089,29,5,6,module2_only__bounded_context_augmented,module2_rgb__bounded_context_augmented
module2_only__neutral_vs_module2_only__original_rgb_compatible,clarity,40,-1.0,0.0,0,40,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_only__original_rgb_compatible,coherence,40,-1.0,0.0,0,40,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_only__original_rgb_compatible,evidence_grounding,40,-0.15,1.0013,17,23,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_only__original_rgb_compatible,overall,40,-1.0,0.0,0,40,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_only__original_rgb_compatible,professionalism,40,-1.0,0.0,0,40,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_only__original_rgb_compatible,relevance,40,-1.0,0.0,0,40,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_only__original_rgb_compatible,usefulness,40,-1.0,0.0,0,40,0,module2_only__neutral,module2_only__original_rgb_compatible
module2_only__neutral_vs_module2_rgb__neutral,clarity,40,0.425,0.7472,23,6,11,module2_only__neutral,module2_rgb__neutral
module2_only__neutral_vs_module2_rgb__neutral,coherence,40,-0.15,1.0013,17,23,0,module2_only__neutral,module2_rgb__neutral
