condition,criterion,n_comparisons,win_rate,loss_rate,tie_rate,mean_signed_preference_strength,std_signed_preference_strength
module2_only__bounded_context_augmented,clarity,80,0.0625,0.0625,0.875,0.0,0.3558
module2_only__bounded_context_augmented,coherence,80,0.3875,0.35,0.2625,0.0375,0.8634
module2_only__bounded_context_augmented,evidence_grounding,80,0.2875,0.5125,0.2,-0.225,0.8711
module2_only__bounded_context_augmented,overall,80,0.4125,0.3875,0.2,0.025,0.8997
module2_only__bounded_context_augmented,professionalism,80,0.0625,0.0875,0.85,-0.025,0.3889
module2_only__bounded_context_augmented,relevance,80,0.1875,0.45,0.3625,-0.2625,0.7588
module2_only__bounded_context_augmented,usefulness,80,0.4375,0.3,0.2625,0.1375,0.853
module2_only__neutral,clarity,80,0.2875,0.575,0.1375,-0.2875,0.8887
module2_only__neutral,coherence,80,0.2125,0.7875,0.0,-0.575,0.8233
module2_only__neutral,evidence_grounding,80,0.4875,0.5125,0.0,-0.025,1.006
module2_only__neutral,overall,80,0.3125,0.6875,0.0,-0.375,0.9329
module2_only__neutral,professionalism,80,0.1625,0.7,0.1375,-0.5375,0.7621
module2_only__neutral,relevance,80,0.1375,0.775,0.0875,-0.6375,0.7159
module2_only__neutral,usefulness,80,0.3125,0.6875,0.0,-0.375,0.9329
module2_only__original_rgb_compatible,clarity,120,0.3917,0.0,0.6083,0.3917,0.4902
module2_only__original_rgb_compatible,coherence,120,0.7417,0.0083,0.25,0.7333,0.4626
module2_only__original_rgb_compatible,evidence_grounding,120,0.475,0.3167,0.2083,0.1583,0.8792
module2_only__original_rgb_compatible,overall,120,0.725,0.075,0.2,0.65,0.617
module2_only__original_rgb_compatible,professionalism,120,0.4,0.0,0.6,0.4,0.492
module2_only__original_rgb_compatible,relevance,120,0.4,0.3,0.3,0.1,0.8341
module2_only__original_rgb_compatible,usefulness,120,0.6667,0.0833,0.25,0.5833,0.6428
module2_rgb__bounded_context_augmented,clarity,80,0.0,0.125,0.875,-0.125,0.3328
module2_rgb__bounded_context_augmented,coherence,80,0.0375,0.8875,0.075,-0.85,0.4528
module2_rgb__bounded_context_augmented,evidence_grounding,80,0.6125,0.35,0.0375,0.2625,0.9513
module2_rgb__bounded_context_augmented,overall,80,0.15,0.8125,0.0375,-0.6625,0.7282
module2_rgb__bounded_context_augmented,professionalism,80,0.025,0.175,0.8,-0.15,0.424
module2_rgb__bounded_context_augmented,relevance,80,0.75,0.1,0.15,0.65,0.658
module2_rgb__bounded_context_augmented,usefulness,80,0.1875,0.7375,0.075,-0.55,0.794
module2_rgb__neutral,clarity,80,0.1,0.7625,0.1375,-0.6625,0.6549
module2_rgb__neutral,coherence,80,0.2875,0.7125,0.0,-0.425,0.9109
module2_rgb__neutral,evidence_grounding,80,0.5625,0.4375,0.0,0.125,0.9984
module2_rgb__neutral,overall,80,0.1875,0.8125,0.0,-0.6625,0.8259
module2_rgb__neutral,professionalism,80,0.225,0.6375,0.1375,-0.4125,0.8373
module2_rgb__neutral,relevance,80,0.275,0.6375,0.0875,-0.3625,0.8894
module2_rgb__neutral,usefulness,80,0.1875,0.8125,0.0,-0.7,0.8627
module2_rgb__original_rgb_compatible,clarity,120,0.3583,0.0333,0.6083,0.325,0.5371
module2_rgb__original_rgb_compatible,coherence,120,0.675,0.2,0.125,0.475,0.8092
module2_rgb__original_rgb_compatible,evidence_grounding,120,0.325,0.575,0.1,-0.25,0.919
module2_rgb__original_rgb_compatible,overall,120,0.675,0.2333,0.0917,0.4667,0.8786
module2_rgb__original_rgb_compatible,professionalism,120,0.3917,0.0417,0.5667,0.35,0.5599
module2_rgb__original_rgb_compatible,relevance,120,0.575,0.2667,0.1583,0.3083,0.8677
module2_rgb__original_rgb_compatible,usefulness,120,0.6167,0.2583,0.125,0.4083,0.9303
