pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_00001,MansoryBrickLaying_00,0,none,none,ok,0.28033962641579746,0.006312476715753013,1.0
SAM-3DBody,field_all_fb_00661,MansoryBrickLaying_00,660,none,none,ok,0.27703210115306576,0.017531590465276966,1.0
SAM-3DBody,field_all_fb_01323,MansoryBrickLaying_00,1322,none,none,ok,0.2793873574070191,0.016092673077466542,1.0
SAM-3DBody,field_all_fb_01946,MansoryBrickLaying_01,283,none,none,ok,0.2793310935879031,0.0063390266958452115,1.0
SAM-3DBody,field_all_fb_02617,MansoryBrickLaying_01,954,none,none,ok,0.2822682475045802,0.008903026448157833,1.0
SAM-3DBody,field_all_fb_03383,MansoryBrickLaying_01,1720,none,none,ok,0.2816522994250913,0.01291987786249924,1.0
SAM-3DBody,field_all_fb_04009,MansoryBrickLaying_01,2346,none,none,ok,0.2811796764545094,0.0022553017713344693,1.0
SAM-3DBody,field_all_fb_04790,MansoryBrickLaying_01,3127,none,none,ok,0.2750639462791415,0.015103510062805777,1.0
SAM-3DBody,field_all_fb_05531,MansoryBrickLaying_02,40,none,none,ok,0.28228076786800105,0.0032960081702805666,1.0
SAM-3DBody,field_all_fb_06236,MansoryBrickLaying_02,745,none,none,ok,0.2845972139404529,0.009822516533855666,1.0
SAM-3DBody,field_all_fb_07148,MansoryBrickLaying_02,1657,none,none,ok,0.2843255535501379,0.016002393226525417,1.0
SAM-3DBody,field_all_fb_08172,MansoryBrickLaying_02,2681,none,none,ok,0.28753602033546805,0.015237248744280696,1.0
SAM-3DBody,field_all_fb_08862,MansoryBrickLaying_02,3371,none,none,ok,0.2820653537164577,0.007140629916415025,1.0
SAM-3DBody,field_all_fb_09774,MansoryBrickLaying_02,4283,none,none,ok,0.2771770556633988,0.005032411566910579,1.0
SAM-3DBody,field_all_fb_10762,MansoryBrickLaying_02,5271,none,none,ok,0.2800715309926903,0.008238096018897748,1.0
SAM-3DBody,field_all_fb_11506,MansoryBrickLaying_02,6015,none,none,ok,0.2823331883033925,0.007057279536056394,1.0
SAM-3DBody,field_all_fb_12227,MansoryBrickLaying_02,6736,none,none,ok,0.2839069504619602,0.012536189623491715,1.0
SAM-3DBody,field_all_fb_12962,MansoryCement_02,214,none,none,ok,0.2742712182802285,0.004573715211955619,1.0
SAM-3DBody,field_all_fb_13696,MansoryCement_02,948,none,none,ok,0.2782904576728135,0.012739998204050163,1.0
SAM-3DBody,field_all_fb_14323,MansoryCement_02,1575,none,none,ok,0.2775416140473493,0.0017985861631957696,1.0
SAM-3DBody,field_all_fb_14958,MansoryCement_02,2210,none,none,ok,0.27655810104210476,0.008110809444160783,1.0
SAM-3DBody,field_all_fb_15609,MansoryCement_02,2861,none,none,ok,0.26222390967179743,0.006364274418412338,1.0
SAM-3DBody,field_all_fb_16268,MansoryCement_02,3520,none,none,ok,0.2739240319949991,0.00797038508977019,1.0
SAM-3DBody,field_all_fb_17061,MansoryCement_02,4313,none,none,ok,0.27558075589324804,0.006364120397567324,1.0
SAM-3DBody,field_all_fb_17658,MansoryCement_02,4910,none,none,ok,0.2762858568381075,0.007998124945960956,1.0
SAM-3DBody,field_all_fb_18303,RebarPlacement_00,443,none,none,ok,0.28081492378151246,0.007702627342939299,1.0
SAM-3DBody,field_all_fb_19756,RebarPlacement_00,1896,none,none,ok,0.279207939594865,0.013845777185553623,1.0
SAM-3DBody,field_all_fb_21589,RebarPlacement_00,3729,none,none,ok,0.2862792221775674,0.0176521131765047,1.0
SAM-3DBody,field_all_fb_22263,RebarPlacement_00,4403,none,none,ok,0.2822540419900428,0.013781069833031005,1.0
SAM-3DBody,field_all_fb_22919,RebarPlacement_00,5059,none,none,ok,0.28199748784143314,0.015441682867373302,1.0
SAM-3DBody,field_all_fb_23540,RebarPlacement_00,5680,none,none,ok,0.2811259947146965,0.012338151761383203,1.0
SAM-3DBody,field_all_fb_24233,RebarPlacement_00,6373,none,none,ok,0.2779406858385851,0.013907264491335072,1.0
SAM-3DBody,field_all_fb_24886,RebarPlacement_00,7026,none,none,ok,0.27432660143802384,0.006796170636380821,1.0
SAM-3DBody,field_all_fb_25583,RebarPlacement_00,7723,none,none,ok,0.2750249875477623,0.007972686471899304,1.0
SAM-3DBody,field_all_fb_26311,RebarPlacement_00,8451,none,none,ok,0.2797656803291568,0.007802181096116543,1.0
SAM-3DBody,field_all_fb_27549,RebarTying_01,1181,none,none,ok,0.26931264383341114,0.006376118765767075,1.0
SAM-3DBody,field_all_fb_28418,RebarTying_02,351,none,none,ok,0.2815115543133239,0.01720442000685817,1.0
SAM-3DBody,field_all_fb_30781,WallPlacement_00,796,none,none,ok,0.28622327799140657,0.004302427836641376,1.0
SAM-3DBody,field_all_fb_31471,WallPlacement_00,1486,none,none,ok,0.28346657826104554,0.004617389679593672,1.0
SAM-3DBody,field_all_fb_32449,WallPlacement_00,2464,none,none,ok,0.29246309143264143,0.007132992132856113,1.0
SAM-3DBody,field_all_fb_33069,WallPlacement_00,3084,none,none,ok,0.2851653785705088,0.019843295005971706,1.0
SAM-3DBody,field_all_fb_33952,WallPlacement_00,3967,none,none,ok,0.2815053435220587,0.01547878303266883,1.0
SAM-3DBody,field_all_fb_35127,WallPlacement_00,5142,none,none,ok,0.28463636713758506,0.01568222839817009,1.0
SAM-3DBody,field_all_fb_36487,WallPlacement_00,6502,none,none,ok,0.28800890683130514,0.012668752348883561,1.0
SAM-3DBody,field_all_fb_37086,WallPlacement_00,7101,none,none,ok,0.28573329166664535,0.008270770291792339,1.0
SAM-3DBody,field_all_fb_37683,WallPlacement_00,7698,none,none,ok,0.28709972549886464,0.011046852145559982,1.0
SAM-3DBody,field_all_fb_38322,WallPlacement_00,8337,none,none,ok,0.2893772579489133,0.00642647519531941,1.0
SAM-3DBody,field_all_fb_39211,WallPlacement_00,9226,none,none,ok,0.28636236753706135,0.009073559317848904,1.0
