sample_key,prediction_source,mpjpe_mm,root_aligned_mpjpe_mm,pa_mpjpe_mm
test/downtown_arguing_00/p00/f00000,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,364.891814,76.227628,33.654155
test/downtown_arguing_00/p00/f00050,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,346.067904,81.150132,35.495600
test/downtown_arguing_00/p00/f00100,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,403.051962,84.582740,41.072817
test/downtown_arguing_00/p00/f00150,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,371.201689,84.662035,31.223483
test/downtown_arguing_00/p00/f00200,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,335.475649,79.101795,30.745346
test/downtown_arguing_00/p00/f00250,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,388.588059,77.775136,36.482617
test/downtown_arguing_00/p00/f00300,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,375.550277,122.548048,86.356925
test/downtown_arguing_00/p00/f00350,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,320.396350,87.218584,35.936699
test/downtown_arguing_00/p00/f00400,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,355.947475,89.316153,33.614197
test/downtown_arguing_00/p00/f00450,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,352.461999,86.179512,42.474490
test/downtown_arguing_00/p00/f00500,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,362.376674,86.065312,40.218803
test/downtown_arguing_00/p00/f00550,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,373.976636,96.692445,47.347820
test/downtown_arguing_00/p00/f00600,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,456.406700,87.609052,38.420761
test/downtown_arguing_00/p00/f00650,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,373.536867,83.557588,31.480521
test/downtown_arguing_00/p00/f00700,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,367.090396,95.905014,42.221123
test/downtown_arguing_00/p00/f00750,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,380.951074,83.355638,34.762811
test/downtown_arguing_00/p00/f00800,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,467.814491,92.874930,45.084748
test/downtown_arguing_00/p00/f00850,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,575.607475,94.000529,40.230636
test/downtown_arguing_00/p01/f00000,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,495.656400,69.239285,39.232906
test/downtown_arguing_00/p01/f00050,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,435.790563,69.319094,37.299130
test/downtown_arguing_00/p01/f00100,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,418.838343,71.269376,32.925477
test/downtown_arguing_00/p01/f00150,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,386.930488,67.040465,31.842892
test/downtown_arguing_00/p01/f00200,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,396.419865,68.584423,41.327264
test/downtown_arguing_00/p01/f00250,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,394.963932,72.311508,47.182752
test/downtown_arguing_00/p01/f00300,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,517.966475,86.307352,49.671586
test/downtown_arguing_00/p01/f00350,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,468.764657,71.966009,31.989539
test/downtown_arguing_00/p01/f00400,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,513.150480,71.935675,35.905401
test/downtown_arguing_00/p01/f00450,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,429.460287,72.761081,44.580521
test/downtown_arguing_00/p01/f00500,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,451.342782,67.394433,35.842849
test/downtown_arguing_00/p01/f00550,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,460.073014,85.061487,43.554090
test/downtown_arguing_00/p01/f00600,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,433.113979,97.114133,70.183758
test/downtown_arguing_00/p01/f00650,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,410.412769,91.242509,41.826519
test/downtown_arguing_00/p01/f00700,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,444.281571,74.433123,32.421096
test/downtown_arguing_00/p01/f00750,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,574.423901,83.876047,37.764109
test/downtown_arguing_00/p01/f00800,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,562.917462,74.316991,39.955562
test/downtown_arguing_00/p01/f00850,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,910.916072,68.757517,35.822130
test/downtown_bar_00/p00/f00000,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,263.159197,92.012363,35.629966
test/downtown_bar_00/p00/f00050,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,275.322153,97.310028,39.535979
test/downtown_bar_00/p00/f00100,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,316.442682,116.482345,55.136633
test/downtown_bar_00/p00/f00200,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,238.700529,89.209040,39.377904
test/downtown_bar_00/p00/f00250,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,201.650430,93.604740,37.996222
test/downtown_bar_00/p00/f00300,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,185.895095,101.477743,52.692154
test/downtown_bar_00/p00/f00350,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,233.306040,124.508329,72.359225
test/downtown_bar_00/p00/f00400,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,294.657327,134.937267,63.199720
test/downtown_bar_00/p00/f00450,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,264.487570,128.235444,69.481358
test/downtown_bar_00/p00/f00500,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,274.558942,125.246712,58.512769
test/downtown_bar_00/p00/f00550,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,255.243282,131.639510,78.296955
test/downtown_bar_00/p00/f00600,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,229.688573,107.355181,65.360471
test/downtown_bar_00/p00/f00650,<private_workspace>/m1/outputs/predictions/sam3db_3dpw_test_stride50,309.683412,144.638664,93.477728
