sample_key,root_aligned_mpjpe_mm,scale_aligned_mpjpe_mm,pa_mpjpe_mm
test/downtown_arguing_00/p00/f00000,145.716270,113.936575,67.100743
test/downtown_arguing_00/p00/f00050,142.480451,119.850090,79.096233
test/downtown_arguing_00/p00/f00100,159.058362,145.533265,101.518196
test/downtown_arguing_00/p00/f00150,117.902170,110.294729,79.991689
test/downtown_arguing_00/p00/f00200,114.698440,112.245712,88.317724
test/downtown_arguing_00/p00/f00250,189.715386,189.863242,152.516008
test/downtown_arguing_00/p00/f00300,171.329732,171.490016,137.846892
test/downtown_arguing_00/p00/f00350,166.259422,166.435449,140.541707
test/downtown_arguing_00/p00/f00400,133.807035,134.188471,101.341749
test/downtown_arguing_00/p00/f00450,148.592722,149.246492,98.730992
