sample_key,root_aligned_mpjpe_mm,scale_aligned_mpjpe_mm,pa_mpjpe_mm
test/downtown_arguing_00/p00/f00000,150.939403,122.002649,69.616557
test/downtown_arguing_00/p00/f00050,144.435670,125.460212,85.804236
test/downtown_arguing_00/p00/f00100,159.418484,146.821781,99.665989
test/downtown_arguing_00/p00/f00150,121.982270,114.615173,81.466867
test/downtown_arguing_00/p00/f00200,116.665149,114.135776,90.239398
test/downtown_arguing_00/p00/f00250,186.021325,186.369847,152.962566
test/downtown_arguing_00/p00/f00300,169.764239,169.705758,136.599286
test/downtown_arguing_00/p00/f00350,166.734444,166.820573,140.737209
test/downtown_arguing_00/p00/f00400,130.804801,130.781123,99.146142
test/downtown_arguing_00/p00/f00450,146.789113,147.316997,97.135583
test/downtown_arguing_00/p00/f00500,131.398817,131.872693,87.157260
test/downtown_arguing_00/p00/f00550,140.114846,141.026450,88.324658
test/downtown_arguing_00/p00/f00600,154.727408,154.200850,106.047012
test/downtown_arguing_00/p00/f00650,153.698529,153.702968,81.514224
test/downtown_arguing_00/p00/f00700,216.886464,217.939047,147.560190
test/downtown_arguing_00/p00/f00750,191.985703,193.443316,118.522188
test/downtown_arguing_00/p00/f00800,256.754490,247.222260,157.138799
test/downtown_arguing_00/p00/f00850,176.530227,142.251834,104.610443
test/downtown_arguing_00/p01/f00000,149.350965,116.832418,62.989853
test/downtown_arguing_00/p01/f00050,150.638284,118.400827,77.021718
test/downtown_arguing_00/p01/f00100,167.241384,145.981186,98.750444
test/downtown_arguing_00/p01/f00150,126.101975,111.032604,71.241922
test/downtown_arguing_00/p01/f00200,145.263272,135.296001,89.188746
test/downtown_arguing_00/p01/f00250,155.983718,146.899291,102.621716
test/downtown_arguing_00/p01/f00300,158.241139,144.977569,119.598438
test/downtown_arguing_00/p01/f00350,162.487437,150.216479,124.019380
test/downtown_arguing_00/p01/f00400,166.656503,157.345066,130.828086
test/downtown_arguing_00/p01/f00450,140.772420,134.915071,109.123898
test/downtown_arguing_00/p01/f00500,144.251383,137.869856,102.847648
test/downtown_arguing_00/p01/f00550,164.908779,164.183763,145.401894
test/downtown_arguing_00/p01/f00600,131.264326,131.524678,97.331847
test/downtown_arguing_00/p01/f00650,178.052845,174.026504,102.256914
test/downtown_arguing_00/p01/f00700,149.440376,148.951255,102.988756
test/downtown_arguing_00/p01/f00750,240.017120,230.041789,214.329876
test/downtown_arguing_00/p01/f00800,197.082053,192.049392,121.912529
test/downtown_arguing_00/p01/f00850,261.557216,253.768867,128.917740
test/downtown_bar_00/p00/f00000,300.340334,288.065042,101.272868
test/downtown_bar_00/p00/f00050,236.267572,201.982439,99.616573
test/downtown_bar_00/p00/f00100,261.605228,215.486753,162.115067
test/downtown_bar_00/p00/f00200,176.643509,167.933522,114.414816
test/downtown_bar_00/p00/f00250,170.344750,163.751639,128.205630
test/downtown_bar_00/p00/f00300,150.026470,148.401629,108.882039
test/downtown_bar_00/p00/f00350,165.061861,165.002085,110.491744
test/downtown_bar_00/p00/f00400,172.634436,172.610825,116.301951
test/downtown_bar_00/p00/f00450,172.269569,171.347505,116.388728
test/downtown_bar_00/p00/f00500,140.815708,140.235302,82.344111
test/downtown_bar_00/p00/f00550,168.156107,165.449573,119.506636
test/downtown_bar_00/p00/f00600,168.718519,165.156521,126.945752
test/downtown_bar_00/p00/f00650,198.728919,193.718197,141.409828
test/downtown_bar_00/p00/f00700,186.271448,182.371807,132.041275
test/downtown_bar_00/p00/f00800,165.052581,164.127189,118.694632
test/downtown_bar_00/p00/f00850,177.591430,175.925723,130.950481
test/downtown_bar_00/p00/f00900,163.126969,163.066825,108.877922
test/downtown_bar_00/p00/f00950,145.843390,145.546417,102.838245
test/downtown_bar_00/p00/f01050,160.436969,160.540886,106.502092
test/downtown_bar_00/p00/f01100,120.788979,120.861499,74.359987
test/downtown_bar_00/p00/f01150,109.814236,109.473817,81.963768
test/downtown_bar_00/p00/f01200,167.185726,167.523515,119.356551
test/downtown_bar_00/p00/f01250,160.456841,161.415065,106.910892
test/downtown_bar_00/p00/f01300,212.994486,209.727850,111.774252
test/downtown_bar_00/p00/f01350,179.066305,177.989992,129.018446
test/downtown_bar_00/p00/f01400,143.792870,140.807233,76.356889
test/downtown_bar_00/p01/f00000,232.365661,164.062402,75.728146
test/downtown_bar_00/p01/f00050,229.054724,160.684952,93.906054
test/downtown_bar_00/p01/f00100,215.317479,177.743586,99.784394
test/downtown_bar_00/p01/f00150,195.668275,174.827611,119.838878
test/downtown_bar_00/p01/f00200,158.668769,150.284501,107.719390
test/downtown_bar_00/p01/f00250,178.949762,184.146492,124.414500
test/downtown_bar_00/p01/f00300,173.709038,175.145923,101.322669
