sample_key,root_aligned_mpjpe_mm,scale_aligned_mpjpe_mm,pa_mpjpe_mm
test/downtown_arguing_00/p00/f00000,139.257197,106.108554,68.863930
test/downtown_arguing_00/p00/f00050,148.624522,113.742462,66.326357
test/downtown_arguing_00/p00/f00100,143.604528,119.087768,76.506255
test/downtown_arguing_00/p00/f00150,124.086328,117.435256,71.502969
test/downtown_arguing_00/p00/f00200,127.435507,119.259276,63.441003
test/downtown_arguing_00/p00/f00250,143.483027,140.910002,87.067251
test/downtown_arguing_00/p00/f00300,195.413085,193.840988,156.662872
test/downtown_arguing_00/p00/f00350,254.667138,263.942896,208.727522
test/downtown_arguing_00/p00/f00400,145.305854,143.229930,74.725672
test/downtown_arguing_00/p00/f00450,122.033596,121.202761,68.919711
test/downtown_arguing_00/p00/f00500,132.901874,132.722190,70.829804
test/downtown_arguing_00/p00/f00550,136.871355,136.401963,73.838811
test/downtown_arguing_00/p00/f00600,147.967497,147.129811,77.530012
test/downtown_arguing_00/p00/f00650,125.793639,123.468053,58.472244
test/downtown_arguing_00/p00/f00700,136.055470,136.027061,80.150479
test/downtown_arguing_00/p00/f00750,107.526807,108.235210,61.840030
test/downtown_arguing_00/p00/f00800,146.725708,109.535514,79.516237
test/downtown_arguing_00/p00/f00850,174.482625,108.684058,53.851954
test/downtown_arguing_00/p01/f00000,102.938919,98.613078,56.277496
test/downtown_arguing_00/p01/f00050,132.703032,117.185749,73.667209
test/downtown_arguing_00/p01/f00100,128.045917,119.311044,66.262140
test/downtown_arguing_00/p01/f00150,102.204834,97.977719,51.630134
test/downtown_arguing_00/p01/f00200,129.161939,124.139726,76.061728
test/downtown_arguing_00/p01/f00250,252.860985,276.595556,218.742012
test/downtown_arguing_00/p01/f00300,267.712980,286.875218,243.217367
test/downtown_arguing_00/p01/f00350,293.247729,317.433553,269.857995
test/downtown_arguing_00/p01/f00400,315.683518,323.702854,270.604726
test/downtown_arguing_00/p01/f00450,126.087389,124.734038,79.655949
test/downtown_arguing_00/p01/f00500,164.391903,179.716605,150.346666
test/downtown_arguing_00/p01/f00550,235.774764,251.738868,202.923829
test/downtown_arguing_00/p01/f00600,175.260536,173.355391,138.490826
test/downtown_arguing_00/p01/f00650,136.841593,133.744033,73.018159
test/downtown_arguing_00/p01/f00700,175.434114,173.047808,123.471284
test/downtown_arguing_00/p01/f00750,88.242784,88.968873,52.668021
test/downtown_arguing_00/p01/f00800,171.196660,125.826415,76.685251
test/downtown_arguing_00/p01/f00850,196.897395,96.676289,62.935256
test/downtown_bar_00/p00/f00000,226.911044,115.421723,67.574302
test/downtown_bar_00/p00/f00050,226.691616,106.547847,48.708476
test/downtown_bar_00/p00/f00100,258.653205,161.701226,142.320733
test/downtown_bar_00/p00/f00200,126.330523,126.239114,78.194173
test/downtown_bar_00/p00/f00250,107.192499,106.470032,62.472159
test/downtown_bar_00/p00/f00300,192.037062,196.901286,163.468630
test/downtown_bar_00/p00/f00350,139.778004,139.631586,87.683080
test/downtown_bar_00/p00/f00400,149.413195,148.990639,106.560299
test/downtown_bar_00/p00/f00450,153.915026,153.887922,92.632437
test/downtown_bar_00/p00/f00500,116.329894,116.421167,60.002632
test/downtown_bar_00/p00/f00550,168.602570,168.159471,109.097011
test/downtown_bar_00/p00/f00600,147.403804,147.383150,106.563011
test/downtown_bar_00/p00/f00650,190.232876,190.476815,140.913326
test/downtown_bar_00/p00/f00700,193.361718,192.766141,138.016199
test/downtown_bar_00/p00/f00800,180.494810,179.492131,130.036776
test/downtown_bar_00/p00/f00850,190.240811,189.272712,150.692588
test/downtown_bar_00/p00/f00900,180.819306,181.205366,130.966051
test/downtown_bar_00/p00/f00950,149.501586,147.748812,111.771323
test/downtown_bar_00/p00/f01050,200.655935,204.261618,164.234650
