pipeline,sample_id,analysis_severity,intended_level,status,visible_joint_ratio_body12,mean_bone_length,relaxed_JAF_invalid_percent
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/000/none,none,none,ok,1.0,0.2811379978912374,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/005/none,none,none,ok,1.0,0.281914717483979,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/010/none,none,none,ok,1.0,0.2822850209629758,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/015/none,none,none,ok,1.0,0.2814685195162767,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/020/none,none,none,ok,1.0,0.28098265432200564,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/025/none,none,none,ok,1.0,0.28028323116960985,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/030/none,none,none,ok,1.0,0.27999680524672954,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/035/none,none,none,ok,1.0,0.28011048094841257,0.0
SAM-3DBody,synthetic_c2/case_01_MansoryBrickLaying_00/040/none,none,none,ok,1.0,0.28259486220803115,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/000/none,none,none,ok,1.0,0.27982406240657204,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/002/none,none,none,ok,1.0,0.2805072094810264,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/005/partial,none,partial,ok,1.0,0.2807540740065558,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/008/partial,none,partial,ok,1.0,0.2821469979160307,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/011/none,none,none,ok,1.0,0.27878980417958404,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/014/none,none,none,ok,1.0,0.2792664681661632,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/018/none,none,none,ok,1.0,0.27997209379640475,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/021/none,none,none,ok,1.0,0.28215379995193934,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/024/none,none,none,ok,1.0,0.2874783951230551,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/028/none,none,none,ok,1.0,0.2817516688864769,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/033/none,none,none,ok,1.0,0.27885574416395603,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/038/none,none,none,ok,1.0,0.27665088300413293,0.0
SAM-3DBody,synthetic_c2/case_02_MansoryBrickLaying_01/043/none,none,none,ok,1.0,0.2694988549616247,0.0
SAM-3DBody,synthetic_c2/case_03_MansoryBrickLaying_02/001/partial,none,partial,ok,1.0,0.28210983345420393,0.0
