sample_id,sequence,frame_number,frame_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,intended_level,analysis_severity,visible_joint_ratio_body12,detection_status,base_sequence,base_frame_number,synthetic_image_path,pipeline_status,seconds,prediction_path,error
synthetic_c2/case_01_MansoryBrickLaying_00/000/none,case_01_MansoryBrickLaying_00__none,0,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01221.jpg,492.39,57.56,659.56,385.04,none,none,1.0,ok,MansoryBrickLaying_00,1221,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01221.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__000__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/005/none,case_01_MansoryBrickLaying_00__none,5,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01226.jpg,501.02,52.66,658.13,382.83,none,none,1.0,ok,MansoryBrickLaying_00,1226,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01226.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__005__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/010/none,case_01_MansoryBrickLaying_00__none,10,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01231.jpg,503.83,50.5,652.37,381.72,none,none,1.0,ok,MansoryBrickLaying_00,1231,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01231.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__010__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/015/none,case_01_MansoryBrickLaying_00__none,15,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01236.jpg,505.24,56.41,631.52,379.96,none,none,1.0,ok,MansoryBrickLaying_00,1236,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01236.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__015__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/020/none,case_01_MansoryBrickLaying_00__none,20,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01241.jpg,508.39,62.05,632.48,380.04,none,none,1.0,ok,MansoryBrickLaying_00,1241,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01241.jpg,ok,0.033,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__020__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/025/none,case_01_MansoryBrickLaying_00__none,25,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01246.jpg,504.17,56.77,627.12,383.1,none,none,1.0,ok,MansoryBrickLaying_00,1246,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01246.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__025__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/030/none,case_01_MansoryBrickLaying_00__none,30,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01251.jpg,511.26,59.04,628.53,382.06,none,none,1.0,ok,MansoryBrickLaying_00,1251,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01251.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__030__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/035/none,case_01_MansoryBrickLaying_00__none,35,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01256.jpg,510.25,57.36,625.91,384.72,none,none,1.0,ok,MansoryBrickLaying_00,1256,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01256.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__035__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/040/none,case_01_MansoryBrickLaying_00__none,40,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01261.jpg,504.91,59.54,615.8,379.85,none,none,1.0,ok,MansoryBrickLaying_00,1261,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01261.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__040__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/000/none,case_02_MansoryBrickLaying_01__none,0,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00250.jpg,487.6,37.99,621.76,379.05,none,none,1.0,ok,MansoryBrickLaying_01,250,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00250.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__000__none.npz,
