frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
0,3,2,1,2,2,1,4,2,4,4
1,3,2,1,3,2,1,4,4,4,4
2,3,2,1,3,2,1,4,4,4,4
3,3,2,1,3,2,1,4,4,4,4
4,3,2,1,3,2,1,4,4,4,4
5,3,2,1,3,2,1,4,4,4,4
6,3,2,1,3,2,1,4,4,4,4
7,3,2,1,3,2,1,4,4,4,4
8,3,2,1,3,2,1,4,4,4,4
9,3,1,1,3,2,1,3,4,3,3
10,3,1,1,3,2,1,3,4,3,3
11,3,1,1,3,2,1,3,4,3,3
12,3,1,1,3,2,1,3,4,3,3
13,3,1,1,3,2,1,3,4,3,3
14,3,1,1,3,2,1,3,4,3,3
15,3,1,1,3,2,1,3,4,3,3
16,2,1,1,3,2,1,1,4,2,2
17,2,1,1,2,2,1,1,2,1,1
18,2,1,1,2,2,1,1,2,1,1
19,2,1,1,2,2,1,1,2,1,1
20,2,1,1,2,2,1,1,2,1,1
21,2,1,1,2,2,1,1,2,1,1
22,2,1,1,2,2,1,1,2,1,1
23,2,1,1,2,2,1,1,2,1,1
24,2,1,1,2,2,1,1,2,1,1
25,2,1,1,2,2,1,1,2,1,1
26,2,1,1,2,2,1,1,2,1,1
27,2,2,1,2,2,1,3,2,3,3
28,2,2,1,2,2,1,3,2,3,3
29,2,1,1,2,2,1,1,2,1,1
30,2,1,1,2,2,1,1,2,1,1
31,2,1,1,2,2,1,1,2,1,1
32,2,1,1,2,2,1,1,2,1,1
33,2,1,1,2,2,1,1,2,1,1
34,3,1,1,2,2,1,3,2,3,3
35,2,1,1,2,2,1,1,2,1,1
36,3,1,1,2,2,1,3,2,3,3
37,3,1,1,2,2,1,3,2,3,3
38,3,1,1,2,2,1,3,2,3,3
39,3,1,1,2,2,1,3,2,3,3
40,3,1,1,2,2,1,3,2,3,3
41,3,1,1,2,2,1,3,2,3,3
42,3,1,1,2,2,1,3,2,3,3
43,3,1,1,2,2,1,3,2,3,3
44,3,1,1,2,2,1,3,2,3,3
45,3,1,1,2,2,1,3,2,3,3
46,2,1,1,2,2,1,1,2,1,1
47,3,1,1,2,2,1,3,2,3,3
48,3,1,1,2,2,1,3,2,3,3
49,2,1,1,2,2,1,1,2,1,1
50,2,1,1,2,2,1,1,2,1,1
51,2,1,1,2,2,1,1,2,1,1
52,2,1,1,2,2,1,1,2,1,1
53,2,1,1,2,2,1,1,2,1,1
54,2,1,1,2,2,1,1,2,1,1
55,2,1,1,2,2,1,1,2,1,1
56,2,1,1,2,2,1,1,2,1,1
57,2,2,1,2,2,1,3,2,3,3
58,2,2,1,2,2,1,3,2,3,3
59,2,1,1,2,2,1,1,2,1,1
60,2,1,1,2,1,1,1,1,1,1
61,2,1,1,2,1,1,1,1,1,1
62,2,1,1,2,1,1,1,1,1,1
63,2,1,1,2,1,1,1,1,1,1
64,2,1,1,2,1,1,1,1,1,1
65,2,1,1,2,1,1,1,1,1,1
66,2,2,1,2,1,1,3,1,2,2
67,2,1,1,2,1,1,1,1,1,1
68,2,1,1,2,1,1,1,1,1,1
69,2,1,1,2,1,1,1,1,1,1
70,2,1,1,2,1,1,1,1,1,1
71,2,1,1,2,1,1,1,1,1,1
72,2,1,1,2,1,1,1,1,1,1
73,2,1,1,2,1,1,1,1,1,1
74,2,1,1,2,1,1,1,1,1,1
75,2,1,1,2,1,1,1,1,1,1
76,2,1,1,2,1,1,1,1,1,1
77,2,1,1,2,1,1,1,1,1,1
78,2,1,1,2,1,1,1,1,1,1
79,2,1,1,2,1,1,1,1,1,1
80,2,1,1,2,2,1,1,2,1,1
81,2,2,1,2,2,1,3,2,3,3
82,2,1,1,2,2,1,1,2,1,1
83,2,2,1,2,2,1,3,2,3,3
84,2,2,1,2,2,1,3,2,3,3
85,3,2,1,2,2,1,4,2,4,4
86,3,1,1,2,2,1,3,2,3,3
87,3,2,1,2,2,1,4,2,4,4
88,3,2,1,2,2,1,4,2,4,4
89,3,2,1,2,2,1,4,2,4,4
90,3,2,1,2,2,1,4,2,4,4
91,3,2,1,2,2,1,4,2,4,4
92,3,2,1,2,2,1,4,2,4,4
93,3,2,1,2,2,1,4,2,4,4
94,3,2,1,3,2,1,4,4,4,4
95,3,1,1,2,2,1,3,2,3,3
96,3,1,1,2,2,1,3,2,3,3
97,3,1,1,2,2,1,3,2,3,3
98,3,2,1,2,2,1,4,2,4,4
99,3,1,1,2,2,1,3,2,3,3
100,3,1,1,2,2,1,3,2,3,3
101,3,1,1,2,2,1,3,2,3,3
102,3,1,1,2,2,1,3,2,3,3
103,3,1,1,2,2,1,3,2,3,3
104,3,1,1,2,2,1,3,2,3,3
105,3,1,1,2,2,1,3,2,3,3
106,3,1,1,2,2,1,3,2,3,3
107,3,1,1,2,2,1,3,2,3,3
108,3,1,1,2,2,1,3,2,3,3
109,3,1,1,2,2,1,3,2,3,3
110,3,1,1,2,2,1,3,2,3,3
111,3,1,1,2,2,1,3,2,3,3
112,3,1,1,2,2,1,3,2,3,3
113,3,1,1,2,2,1,3,2,3,3
114,3,1,1,2,2,1,3,2,3,3
115,3,1,1,2,2,1,3,2,3,3
116,3,1,1,2,2,1,3,2,3,3
117,3,1,1,2,2,1,3,2,3,3
118,3,1,1,2,2,1,3,2,3,3
119,3,1,1,2,2,1,3,2,3,3
120,3,1,1,2,2,1,3,2,3,3
121,3,1,1,2,2,1,3,2,3,3
122,3,1,1,2,2,1,3,2,3,3
123,3,1,1,2,2,1,3,2,3,3
124,3,2,1,2,2,1,4,2,4,4
125,3,2,1,2,2,1,4,2,4,4
126,3,2,1,2,2,1,4,2,4,4
127,3,2,1,2,2,1,4,2,4,4
128,3,2,1,2,2,1,4,2,4,4
129,3,2,1,2,2,1,4,2,4,4
130,3,2,1,2,2,1,4,2,4,4
131,3,2,1,2,2,1,4,2,4,4
132,2,2,1,2,2,1,3,2,3,3
133,2,2,1,1,2,1,3,1,2,2
134,2,2,1,1,2,1,3,1,2,2
135,2,2,1,1,2,1,3,1,2,2
136,2,2,2,1,2,1,4,1,3,3
137,2,2,2,1,2,1,4,1,3,3
138,2,2,2,1,2,1,4,1,3,3
139,2,1,2,1,2,1,2,1,1,1
140,2,1,2,1,1,1,2,1,1,1
141,2,1,2,1,1,1,2,1,1,1
142,2,1,2,1,1,1,2,1,1,1
143,2,1,2,1,1,1,2,1,1,1
144,2,1,2,1,1,1,2,1,1,1
145,2,1,2,1,1,1,2,1,1,1
146,2,1,2,2,1,1,2,1,1,1
147,2,1,2,2,1,1,2,1,1,1
148,2,1,2,2,1,1,2,1,1,1
149,2,1,2,2,1,1,2,1,1,1
150,2,1,2,1,2,1,2,1,1,1
151,2,1,2,1,2,1,2,1,1,1
152,2,1,2,1,2,1,2,1,1,1
153,2,1,2,1,2,1,2,1,1,1
154,2,2,2,1,1,1,4,1,3,3
155,2,2,2,1,1,1,4,1,3,3
156,2,2,2,1,1,1,4,1,3,3
157,2,2,2,2,1,1,4,1,3,3
158,2,2,2,2,1,1,4,1,3,3
159,2,2,2,2,1,1,4,1,3,3
160,2,2,2,2,1,1,4,1,3,3
161,2,2,2,2,1,1,4,1,3,3
162,2,2,2,2,1,1,4,1,3,3
163,2,2,2,2,1,1,4,1,3,3
164,2,2,1,2,2,1,3,2,3,3
165,2,2,1,2,2,1,3,2,3,3
166,2,2,1,2,2,1,3,2,3,3
167,2,2,1,3,2,1,3,4,3,3
168,2,2,1,3,2,1,3,4,3,3
169,2,2,1,3,2,1,3,4,3,3
170,2,2,1,3,2,1,3,4,3,3
171,2,2,1,3,2,1,3,4,3,3
172,2,2,1,3,2,1,3,4,3,3
173,2,2,1,3,2,1,3,4,3,3
174,2,2,1,3,2,1,3,4,3,3
175,2,2,1,3,2,1,3,4,3,3
176,2,2,1,3,2,1,3,4,3,3
177,2,2,1,3,2,1,3,4,3,3
178,1,2,1,3,2,1,2,4,3,3
179,1,2,1,3,2,1,2,4,3,3
180,1,2,1,3,2,1,2,4,3,3
181,1,2,1,3,2,1,2,4,3,3
182,1,2,1,3,2,1,2,4,3,3
183,1,2,1,3,2,1,2,4,3,3
184,1,2,1,3,2,1,2,4,3,3
185,1,2,1,3,2,1,2,4,3,3
186,1,2,1,3,2,1,2,4,3,3
187,2,2,1,3,2,1,3,4,3,3
188,2,2,1,3,2,1,3,4,3,3
189,2,2,1,3,2,1,3,4,3,3
190,2,2,1,3,2,1,3,4,3,3
191,2,2,1,3,2,1,3,4,3,3
192,2,2,1,3,2,1,3,4,3,3
193,2,2,1,3,2,1,3,4,3,3
194,2,2,1,2,2,1,3,2,3,3
195,2,2,1,2,2,1,3,2,3,3
196,2,2,1,2,1,1,3,1,2,2
197,2,2,1,2,1,1,3,1,2,2
198,2,2,1,2,1,1,3,1,2,2
199,2,2,1,2,1,1,3,1,2,2
200,2,2,1,2,1,1,3,1,2,2
201,2,2,1,2,1,1,3,1,2,2
202,2,2,1,2,1,1,3,1,2,2
203,2,2,1,2,1,1,3,1,2,2
204,2,2,1,2,1,1,3,1,2,2
205,2,2,1,2,1,1,3,1,2,2
206,2,2,1,2,1,1,3,1,2,2
207,2,2,1,2,1,1,3,1,2,2
208,2,2,1,2,1,1,3,1,2,2
209,2,2,1,2,1,1,3,1,2,2
210,2,2,1,2,1,1,3,1,2,2
211,2,2,1,2,1,1,3,1,2,2
212,2,2,1,2,1,1,3,1,2,2
213,2,2,1,2,1,1,3,1,2,2
214,2,2,1,2,1,1,3,1,2,2
215,2,2,1,2,1,1,3,1,2,2
216,2,2,1,2,1,1,3,1,2,2
217,2,2,1,2,1,1,3,1,2,2
218,2,1,1,2,1,1,1,1,1,1
219,2,1,1,2,1,1,1,1,1,1
220,2,1,1,2,1,1,1,1,1,1
