frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
1,2,2,1,1,2,1,3,1,2,2
2,2,2,1,1,2,1,3,1,2,2
3,2,2,1,1,2,1,3,1,2,2
4,2,2,1,1,2,1,3,1,2,2
5,2,2,1,1,2,1,3,1,2,2
6,2,2,1,1,2,1,3,1,2,2
7,2,2,1,1,2,1,3,1,2,2
8,2,2,1,1,2,1,3,1,2,2
9,2,2,1,1,2,1,3,1,2,2
10,2,2,1,1,2,1,3,1,2,2
11,2,2,1,1,2,1,3,1,2,2
12,2,2,1,1,2,1,3,1,2,2
13,2,2,1,1,2,1,3,1,2,2
14,2,2,1,1,2,1,3,1,2,2
15,2,2,1,1,2,1,3,1,2,2
16,2,2,1,1,2,1,3,1,2,2
17,2,2,2,1,2,1,4,1,3,3
18,2,2,2,2,2,1,4,2,4,4
19,2,2,2,2,2,1,4,2,4,4
20,2,3,2,2,2,1,5,2,4,4
21,2,3,2,2,2,2,5,3,4,4
22,2,3,2,2,2,2,5,3,4,4
23,2,3,2,2,2,2,5,3,4,4
24,2,3,2,2,2,2,5,3,4,4
25,2,3,2,2,2,2,5,3,4,4
26,2,3,2,2,2,2,5,3,4,4
27,1,3,2,2,2,2,4,3,4,4
28,1,3,2,2,2,2,4,3,4,4
29,1,3,2,2,2,2,4,3,4,4
30,1,3,2,2,2,2,4,3,4,4
31,1,3,2,2,2,2,4,3,4,4
32,1,3,2,2,2,2,4,3,4,4
33,1,3,2,2,2,2,4,3,4,4
34,1,3,2,2,2,2,4,3,4,4
35,2,3,2,2,2,2,5,3,4,4
36,2,3,2,2,2,2,5,3,4,4
37,2,3,2,2,2,2,5,3,4,4
38,2,3,2,2,2,2,5,3,4,4
39,2,3,2,2,2,2,5,3,4,4
40,2,3,2,2,2,2,5,3,4,4
41,1,3,2,2,2,2,4,3,4,4
42,1,3,2,2,2,2,4,3,4,4
43,2,3,2,2,2,2,5,3,4,4
44,1,3,2,2,2,2,4,3,4,4
45,1,3,2,2,2,2,4,3,4,4
46,1,3,2,1,2,2,4,2,4,4
47,1,3,2,1,2,2,4,2,4,4
48,1,3,2,1,2,2,4,2,4,4
49,2,3,2,1,1,2,5,2,4,4
50,2,3,2,1,1,2,5,2,4,4
51,2,3,2,1,2,2,5,2,4,4
52,2,3,2,1,1,2,5,2,4,4
53,1,3,2,1,1,2,4,2,4,4
54,1,3,2,1,1,2,4,2,4,4
55,2,3,1,1,1,2,4,2,4,4
56,1,3,2,1,1,2,4,2,4,4
57,1,3,2,1,1,2,4,2,4,4
58,1,3,2,1,1,2,4,2,4,4
59,1,3,2,1,2,2,4,2,4,4
60,1,3,2,1,2,2,4,2,4,4
61,1,2,2,1,2,2,3,2,3,3
62,1,2,2,1,2,2,3,2,3,3
63,1,2,2,1,2,2,3,2,3,3
64,1,2,2,1,1,2,3,2,3,3
65,1,2,1,1,1,2,2,2,2,2
66,1,2,2,1,1,1,3,1,2,2
67,1,2,2,1,1,1,3,1,2,2
68,1,2,2,1,1,1,3,1,2,2
69,1,2,2,1,1,1,3,1,2,2
70,1,2,2,1,1,1,3,1,2,2
71,1,2,1,1,1,1,2,1,1,1
72,1,2,1,1,1,1,2,1,1,1
73,1,2,1,1,1,1,2,1,1,1
74,1,2,1,1,1,1,2,1,1,1
75,1,2,1,1,1,1,2,1,1,1
76,1,2,1,1,1,1,2,1,1,1
77,1,2,1,1,1,1,2,1,1,1
78,1,2,1,1,1,1,2,1,1,1
79,1,2,1,1,1,1,2,1,1,1
80,1,2,1,1,1,1,2,1,1,1
81,1,2,1,1,1,1,2,1,1,1
82,1,2,1,1,1,1,2,1,1,1
83,1,2,1,1,1,1,2,1,1,1
84,2,2,2,1,1,1,4,1,3,3
85,2,2,2,1,1,1,4,1,3,3
86,2,2,4,1,1,1,6,1,6,6
87,1,2,3,1,1,1,4,1,3,3
88,1,2,3,1,1,1,4,1,3,3
89,1,2,2,1,1,1,3,1,2,2
90,1,2,2,1,1,1,3,1,2,2
91,1,2,1,1,1,1,2,1,1,1
92,1,2,1,1,1,1,2,1,1,1
93,1,2,1,2,1,1,2,1,1,1
94,1,2,1,2,1,1,2,1,1,1
95,1,2,1,2,1,1,2,1,1,1
96,1,2,2,2,1,1,3,1,2,2
97,1,2,1,2,1,1,2,1,1,1
98,1,2,1,2,1,1,2,1,1,1
99,1,2,1,1,1,1,2,1,1,1
100,1,2,2,1,2,1,3,1,2,2
101,1,2,2,1,2,1,3,1,2,2
102,1,2,2,1,2,1,3,1,2,2
103,1,2,2,1,2,1,3,1,2,2
104,1,2,3,1,2,1,4,1,3,3
105,1,2,3,1,2,1,4,1,3,3
106,1,2,4,1,2,1,5,1,4,4
107,1,2,3,1,2,1,4,1,3,3
108,1,2,2,1,2,1,3,1,2,2
109,1,2,2,1,2,1,3,1,2,2
110,1,2,2,1,2,1,3,1,2,2
111,1,2,2,1,2,1,3,1,2,2
112,1,2,2,1,2,1,3,1,2,2
113,1,2,2,1,2,1,3,1,2,2
114,1,2,2,1,2,1,3,1,2,2
115,1,2,1,1,2,1,2,1,1,1
116,1,2,1,1,2,1,2,1,1,1
117,1,2,2,1,2,1,3,1,2,2
118,1,2,2,1,2,1,3,1,2,2
119,1,2,2,1,2,1,3,1,2,2
120,1,2,3,1,2,1,4,1,3,3
121,1,2,4,1,2,1,5,1,4,4
122,1,2,4,1,2,1,5,1,4,4
123,1,2,3,1,2,1,4,1,3,3
124,1,2,2,1,2,1,3,1,2,2
125,1,2,2,2,2,1,3,2,3,3
126,1,2,2,2,2,1,3,2,3,3
127,1,2,2,2,2,1,3,2,3,3
128,1,2,1,2,2,1,2,2,2,2
129,1,2,1,2,2,1,2,2,2,2
130,1,2,1,2,2,1,2,2,2,2
131,1,2,1,2,2,1,2,2,2,2
132,1,2,1,1,2,1,2,1,1,1
133,1,2,1,1,2,1,2,1,1,1
134,1,2,2,1,2,1,3,1,2,2
135,1,2,3,1,2,1,4,1,3,3
136,1,2,4,1,2,1,5,1,4,4
137,1,2,4,1,2,1,5,1,4,4
138,1,2,4,1,2,1,5,1,4,4
139,1,2,3,1,2,1,4,1,3,3
140,1,2,2,1,2,1,3,1,2,2
141,1,2,2,1,2,2,3,2,3,3
142,1,2,1,1,2,1,2,1,1,1
143,1,2,1,1,2,1,2,1,1,1
144,1,2,1,1,2,1,2,1,1,1
145,1,2,1,1,2,1,2,1,1,1
146,1,2,1,1,2,1,2,1,1,1
147,1,1,1,1,2,1,1,1,1,1
148,1,1,2,1,2,1,2,1,1,1
149,1,1,2,1,2,2,2,2,2,2
150,1,1,3,1,2,2,3,2,3,3
151,1,1,4,1,2,2,4,2,4,4
152,1,1,4,1,2,2,4,2,4,4
153,1,1,4,1,2,2,4,2,4,4
154,1,1,3,1,2,2,3,2,3,3
155,1,1,3,1,2,2,3,2,3,3
156,1,1,2,1,2,2,2,2,2,2
157,1,1,2,2,2,2,2,3,2,2
158,1,2,1,3,2,2,2,5,4,4
159,1,1,1,3,2,1,1,4,2,2
160,2,1,1,3,2,1,1,4,2,2
161,2,1,1,3,2,1,1,4,2,2
162,2,1,1,3,2,1,1,4,2,2
163,2,1,1,3,2,1,1,4,2,2
164,2,1,1,3,2,1,1,4,2,2
165,2,1,1,3,2,1,1,4,2,2
166,2,2,1,3,2,1,3,4,3,3
167,2,2,1,3,2,1,3,4,3,3
168,2,2,1,3,2,1,3,4,3,3
169,2,2,1,3,2,1,3,4,3,3
170,2,2,1,3,2,1,3,4,3,3
171,2,2,1,3,2,1,3,4,3,3
172,2,2,1,3,2,1,3,4,3,3
173,2,2,1,3,2,1,3,4,3,3
174,2,2,1,3,2,1,3,4,3,3
175,2,2,1,3,2,1,3,4,3,3
176,2,2,2,3,2,1,4,4,4,4
177,2,2,2,3,2,1,4,4,4,4
178,2,2,2,3,2,2,4,5,5,5
179,2,2,2,2,2,2,4,3,4,4
180,2,2,1,2,2,1,3,2,3,3
181,2,1,1,2,2,1,1,2,1,1
182,2,1,1,2,2,1,1,2,1,1
183,2,2,1,2,2,1,3,2,3,3
184,2,2,1,2,2,1,3,2,3,3
185,2,2,1,1,2,1,3,1,2,2
186,2,2,1,1,2,1,3,1,2,2
187,2,2,1,1,2,1,3,1,2,2
188,2,2,1,1,2,1,3,1,2,2
189,2,2,1,1,2,1,3,1,2,2
190,1,2,1,1,2,1,2,1,1,1
191,1,2,1,1,2,1,2,1,1,1
192,1,2,1,1,2,1,2,1,1,1
193,1,2,1,1,2,1,2,1,1,1
194,1,2,1,1,2,1,2,1,1,1
195,1,2,1,1,2,1,2,1,1,1
196,1,2,1,1,2,1,2,1,1,1
197,1,2,1,1,2,1,2,1,1,1
198,1,2,1,1,2,1,2,1,1,1
199,1,2,1,1,2,1,2,1,1,1
200,1,2,1,1,2,1,2,1,1,1
201,1,2,1,1,2,1,2,1,1,1
202,1,2,1,1,2,1,2,1,1,1
203,1,2,1,1,2,1,2,1,1,1
204,1,2,1,1,2,1,2,1,1,1
205,1,2,1,1,2,1,2,1,1,1
206,1,2,1,1,2,1,2,1,1,1
207,1,2,2,1,2,1,3,1,2,2
208,1,2,2,1,2,1,3,1,2,2
209,1,2,2,1,2,1,3,1,2,2
210,1,2,2,1,2,1,3,1,2,2
211,1,2,2,1,2,1,3,1,2,2
212,1,1,2,1,2,1,2,1,1,1
213,1,1,2,1,2,1,2,1,1,1
214,1,2,2,1,2,1,3,1,2,2
215,1,2,1,1,2,1,2,1,1,1
216,1,2,1,1,2,1,2,1,1,1
217,1,2,1,1,2,1,2,1,1,1
218,1,1,1,2,2,1,1,2,1,1
219,1,1,1,2,2,1,1,2,1,1
220,1,2,1,2,2,1,2,2,2,2
221,1,1,1,2,2,1,1,2,1,1
222,1,1,2,2,2,1,2,2,2,2
223,1,1,2,1,2,1,2,1,1,1
224,1,2,2,1,2,1,3,1,2,2
225,1,2,3,1,2,1,4,1,3,3
226,1,2,4,1,2,1,5,1,4,4
227,1,2,4,1,2,1,5,1,4,4
228,1,2,4,1,2,1,5,1,4,4
229,1,2,4,1,2,1,5,1,4,4
230,1,2,4,1,2,1,5,1,4,4
231,1,1,4,1,2,1,4,1,3,3
232,1,1,4,1,2,1,4,1,3,3
233,1,1,2,1,2,1,2,1,1,1
234,1,1,2,2,2,1,2,2,2,2
235,1,1,1,2,2,1,1,2,1,1
236,1,1,1,2,2,1,1,2,1,1
237,1,1,1,2,2,1,1,2,1,1
238,1,1,1,2,2,1,1,2,1,1
239,1,1,2,2,2,1,2,2,2,2
240,1,1,2,2,2,1,2,2,2,2
241,1,1,2,2,2,1,2,2,2,2
242,1,1,3,2,2,1,3,2,3,3
243,1,1,4,2,2,1,4,2,4,4
244,1,1,4,1,2,1,4,1,3,3
245,1,1,4,1,2,1,4,1,3,3
246,1,1,4,1,2,1,4,1,3,3
247,1,1,4,1,2,1,4,1,3,3
248,1,1,4,1,2,1,4,1,3,3
249,1,1,4,1,2,1,4,1,3,3
250,1,1,4,1,2,1,4,1,3,3
251,1,1,2,1,2,1,2,1,1,1
252,1,1,2,1,2,1,2,1,1,1
253,1,1,1,1,1,1,1,1,1,1
254,1,1,1,1,1,1,1,1,1,1
255,1,1,1,1,1,2,1,2,1,1
256,1,1,1,1,1,2,1,2,1,1
257,1,1,1,1,1,2,1,2,1,1
258,1,1,2,1,1,2,2,2,2,2
259,1,1,3,1,1,2,3,2,3,3
260,1,1,3,1,1,2,3,2,3,3
261,2,1,4,1,1,2,4,2,4,4
262,2,1,4,1,1,2,4,2,4,4
263,2,1,4,1,1,2,4,2,4,4
264,2,1,4,1,1,2,4,2,4,4
265,2,1,4,1,1,2,4,2,4,4
266,2,2,3,1,1,2,5,2,4,4
267,2,2,2,2,1,2,4,2,4,4
268,2,2,1,2,1,2,3,2,3,3
269,2,2,1,2,1,2,3,2,3,3
270,2,2,1,2,2,2,3,3,3,3
271,2,2,1,2,2,2,3,3,3,3
272,2,2,1,2,1,2,3,2,3,3
273,2,2,1,2,1,2,3,2,3,3
274,2,2,1,2,1,2,3,2,3,3
275,2,2,1,2,1,2,3,2,3,3
276,2,2,1,2,1,2,3,2,3,3
277,2,2,1,2,1,2,3,2,3,3
278,2,2,1,2,2,2,3,3,3,3
279,2,2,1,2,2,2,3,3,3,3
280,2,2,1,2,2,2,3,3,3,3
281,2,2,1,2,2,2,3,3,3,3
282,2,2,1,2,2,2,3,3,3,3
283,2,2,1,2,2,2,3,3,3,3
284,1,3,1,2,2,2,2,3,2,2
285,1,3,1,2,2,2,2,3,2,2
286,1,3,1,2,2,2,2,3,2,2
287,1,3,1,2,2,2,2,3,2,2
288,1,3,1,2,2,2,2,3,2,2
289,1,3,1,2,2,2,2,3,2,2
290,1,3,1,2,2,2,2,3,2,2
291,1,3,1,2,2,2,2,3,2,2
292,1,3,1,2,2,2,2,3,2,2
293,1,3,1,2,2,2,2,3,2,2
294,1,3,1,2,1,2,2,2,2,2
295,1,3,1,2,1,2,2,2,2,2
296,1,3,1,2,1,2,2,2,2,2
297,1,3,1,2,1,2,2,2,2,2
298,1,3,1,2,1,3,2,3,2,2
299,1,3,1,2,1,3,2,3,2,2
300,1,3,1,2,1,3,2,3,2,2
301,1,3,1,2,1,2,2,2,2,2
302,2,2,1,1,1,2,3,2,3,3
303,2,2,1,1,1,3,3,2,3,3
304,2,2,1,1,1,3,3,2,3,3
305,2,2,1,1,1,3,3,2,3,3
306,2,2,1,1,1,3,3,2,3,3
307,2,2,1,1,1,2,3,2,3,3
308,2,2,1,2,1,2,3,2,3,3
309,2,2,1,2,1,2,3,2,3,3
310,2,2,1,2,1,1,3,1,2,2
311,2,2,1,2,1,1,3,1,2,2
312,2,2,1,2,1,1,3,1,2,2
313,2,2,1,2,1,1,3,1,2,2
314,2,2,1,2,1,1,3,1,2,2
315,2,2,1,2,2,1,3,2,3,3
316,2,2,1,3,2,1,3,4,3,3
317,2,2,1,3,2,1,3,4,3,3
318,2,2,1,3,2,1,3,4,3,3
319,2,2,1,3,2,1,3,4,3,3
320,2,2,1,2,2,1,3,2,3,3
321,2,2,1,2,2,1,3,2,3,3
322,2,2,1,2,2,1,3,2,3,3
323,2,2,1,2,2,1,3,2,3,3
324,2,2,1,2,2,1,3,2,3,3
325,2,2,1,2,1,1,3,1,2,2
326,2,2,1,2,1,1,3,1,2,2
327,2,2,1,2,1,1,3,1,2,2
328,2,2,1,2,1,1,3,1,2,2
329,2,2,1,1,1,1,3,1,2,2
330,2,2,1,1,1,1,3,1,2,2
331,2,2,1,1,1,1,3,1,2,2
332,2,2,1,1,1,1,3,1,2,2
333,2,2,1,1,1,1,3,1,2,2
334,2,2,1,1,1,2,3,2,3,3
335,2,2,1,1,1,2,3,2,3,3
336,2,2,1,1,1,1,3,1,2,2
337,2,2,1,1,1,1,3,1,2,2
338,2,2,1,1,1,2,3,2,3,3
339,2,2,1,1,1,2,3,2,3,3
340,2,2,1,1,1,2,3,2,3,3
341,2,2,1,1,1,2,3,2,3,3
