frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
0,2,2,4,1,2,3,6,3,6,6
1,2,2,4,2,2,3,6,4,7,7
2,2,2,4,2,2,3,6,4,7,7
3,2,2,4,2,2,3,6,4,7,7
4,2,2,4,2,2,2,6,3,6,6
5,2,2,4,1,2,2,6,2,6,6
6,2,2,4,1,2,2,6,2,6,6
7,2,2,4,1,1,2,6,2,6,6
8,2,2,4,1,1,2,6,2,6,6
9,2,2,4,1,1,2,6,2,6,6
10,2,2,4,1,1,2,6,2,6,6
11,2,2,4,1,2,2,6,2,6,6
12,2,2,2,2,2,2,4,3,4,4
13,2,2,2,1,2,2,4,2,4,4
14,2,2,2,1,2,2,4,2,4,4
15,2,2,2,1,2,2,4,2,4,4
16,2,2,1,1,2,2,3,2,3,3
17,2,2,1,1,2,2,3,2,3,3
18,2,2,1,1,2,2,3,2,3,3
19,2,2,1,1,2,2,3,2,3,3
20,2,2,1,1,2,2,3,2,3,3
21,2,1,1,1,2,2,1,2,1,1
22,2,1,1,1,2,2,1,2,1,1
23,2,1,1,1,2,2,1,2,1,1
24,2,1,1,1,2,2,1,2,1,1
25,2,1,1,1,2,2,1,2,1,1
26,3,1,1,1,2,2,3,2,3,3
27,3,1,1,1,2,2,3,2,3,3
28,3,2,1,1,2,2,4,2,4,4
29,3,2,1,1,2,2,4,2,4,4
30,3,2,1,1,2,2,4,2,4,4
31,3,2,1,1,2,2,4,2,4,4
32,3,2,1,1,2,2,4,2,4,4
33,3,2,1,1,2,2,4,2,4,4
34,3,2,1,1,2,2,4,2,4,4
35,3,2,1,1,2,2,4,2,4,4
36,3,2,1,2,2,2,4,3,4,4
37,3,2,1,2,2,2,4,3,4,4
38,2,2,1,2,2,2,3,3,3,3
39,2,2,1,2,2,2,3,3,3,3
40,2,2,2,2,2,2,4,3,4,4
41,2,2,2,2,2,2,4,3,4,4
42,2,2,2,2,2,2,4,3,4,4
43,2,2,2,2,2,2,4,3,4,4
44,2,2,2,2,2,2,4,3,4,4
45,2,3,1,2,2,2,4,3,4,4
46,2,3,2,2,2,2,5,3,4,4
47,2,3,1,2,2,2,4,3,4,4
48,2,3,1,2,2,2,4,3,4,4
49,2,3,1,2,2,2,4,3,4,4
50,2,3,1,2,2,2,4,3,4,4
51,2,3,1,2,2,2,4,3,4,4
52,2,3,1,2,2,2,4,3,4,4
53,2,3,1,2,2,2,4,3,4,4
54,2,3,1,2,2,2,4,3,4,4
55,2,3,2,2,2,2,5,3,4,4
56,2,3,2,2,2,2,5,3,4,4
57,2,3,2,2,2,2,5,3,4,4
58,2,3,2,2,2,2,5,3,4,4
59,2,3,2,2,2,2,5,3,4,4
60,2,3,2,2,2,2,5,3,4,4
61,2,3,2,2,2,2,5,3,4,4
62,2,3,2,2,2,2,5,3,4,4
63,2,3,2,2,2,2,5,3,4,4
64,2,3,2,2,2,2,5,3,4,4
65,2,3,2,2,2,2,5,3,4,4
66,2,3,2,2,2,2,5,3,4,4
67,2,3,2,2,2,2,5,3,4,4
68,2,3,2,2,2,2,5,3,4,4
69,2,3,2,3,2,2,5,5,6,6
70,2,3,2,3,2,2,5,5,6,6
71,2,3,2,2,2,2,5,3,4,4
72,2,3,2,2,2,2,5,3,4,4
73,2,3,2,2,2,2,5,3,4,4
74,2,3,2,2,2,2,5,3,4,4
75,2,3,2,2,2,2,5,3,4,4
76,2,3,2,2,2,2,5,3,4,4
77,2,3,2,2,2,2,5,3,4,4
78,2,3,2,2,2,2,5,3,4,4
79,2,3,2,2,2,2,5,3,4,4
80,2,3,2,2,2,2,5,3,4,4
81,2,3,2,2,2,2,5,3,4,4
82,2,3,2,2,2,2,5,3,4,4
83,2,3,2,2,2,1,5,2,4,4
84,2,3,2,2,2,2,5,3,4,4
85,2,3,2,2,2,1,5,2,4,4
86,2,3,1,2,2,1,4,2,4,4
87,2,3,2,2,2,2,5,3,4,4
88,2,3,1,2,2,2,4,3,4,4
89,2,3,1,2,2,1,4,2,4,4
90,2,3,1,2,2,2,4,3,4,4
91,2,3,1,2,2,2,4,3,4,4
92,2,3,1,2,2,2,4,3,4,4
93,2,3,1,2,2,2,4,3,4,4
94,2,3,1,2,2,2,4,3,4,4
95,2,3,2,1,2,2,5,2,4,4
96,2,3,2,1,2,2,5,2,4,4
97,2,3,2,2,2,2,5,3,4,4
98,2,3,2,2,2,2,5,3,4,4
99,2,3,2,2,2,2,5,3,4,4
100,2,3,2,2,2,2,5,3,4,4
101,2,4,2,2,2,2,6,3,6,6
102,2,4,2,2,2,2,6,3,6,6
103,2,4,2,3,2,2,6,5,8,8
104,2,4,2,3,2,2,6,5,8,8
105,2,4,2,3,2,2,6,5,8,8
106,2,4,2,3,2,2,6,5,8,8
107,2,4,2,3,2,2,6,5,8,8
108,1,4,2,3,2,2,5,5,6,6
109,1,4,2,3,2,2,5,5,6,6
110,2,4,2,3,2,2,6,5,8,8
111,2,4,2,3,2,2,6,5,8,8
112,2,4,2,3,2,2,6,5,8,8
113,2,4,2,3,2,2,6,5,8,8
114,2,4,2,3,2,2,6,5,8,8
115,2,4,2,2,2,2,6,3,6,6
116,2,4,2,2,1,2,6,2,6,6
117,2,4,2,2,1,2,6,2,6,6
118,2,4,2,2,1,2,6,2,6,6
119,2,3,2,2,1,2,5,2,4,4
120,2,3,2,2,1,2,5,2,4,4
121,2,3,2,2,1,2,5,2,4,4
122,2,3,1,2,1,2,4,2,4,4
123,2,3,1,2,1,2,4,2,4,4
124,2,3,1,2,1,2,4,2,4,4
125,2,3,1,2,1,2,4,2,4,4
126,2,3,1,2,1,2,4,2,4,4
