frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
0,2,3,4,2,2,1,7,2,7,7
1,2,3,4,2,2,2,7,3,7,7
2,2,3,4,2,2,2,7,3,7,7
3,2,3,4,2,2,2,7,3,7,7
4,2,3,4,2,2,2,7,3,7,7
5,2,3,4,2,2,2,7,3,7,7
6,2,3,4,2,2,2,7,3,7,7
7,2,3,4,2,2,2,7,3,7,7
8,2,3,4,2,2,2,7,3,7,7
9,2,3,4,2,2,2,7,3,7,7
10,2,3,4,2,2,2,7,3,7,7
11,2,3,4,2,2,2,7,3,7,7
12,2,3,4,2,2,2,7,3,7,7
13,2,3,4,2,2,2,7,3,7,7
14,2,3,4,2,2,2,7,3,7,7
15,2,3,4,2,2,2,7,3,7,7
16,2,3,4,2,2,2,7,3,7,7
17,2,3,4,2,2,2,7,3,7,7
18,2,3,4,2,2,2,7,3,7,7
19,2,3,4,2,2,2,7,3,7,7
20,2,3,4,2,2,2,7,3,7,7
21,2,3,4,2,2,2,7,3,7,7
22,2,3,4,2,2,2,7,3,7,7
23,2,3,4,2,2,1,7,2,7,7
24,2,3,4,2,2,1,7,2,7,7
25,2,3,4,2,2,1,7,2,7,7
26,2,3,4,2,2,1,7,2,7,7
27,2,3,4,2,2,1,7,2,7,7
28,2,3,4,2,2,1,7,2,7,7
29,2,3,4,2,2,1,7,2,7,7
30,2,3,4,2,2,1,7,2,7,7
31,2,3,4,2,2,1,7,2,7,7
32,2,3,4,2,2,1,7,2,7,7
33,2,3,4,2,2,1,7,2,7,7
34,2,3,4,2,2,1,7,2,7,7
35,2,3,4,2,2,2,7,3,7,7
36,2,3,4,2,2,2,7,3,7,7
37,2,3,4,2,2,2,7,3,7,7
38,2,3,4,2,2,2,7,3,7,7
39,2,3,4,2,2,2,7,3,7,7
40,2,3,4,2,2,2,7,3,7,7
41,2,3,4,2,2,2,7,3,7,7
42,2,3,4,2,1,1,7,1,7,7
43,2,3,4,2,1,2,7,2,7,7
44,2,3,4,2,1,2,7,2,7,7
45,2,3,4,2,2,2,7,3,7,7
46,2,3,4,2,2,2,7,3,7,7
47,2,3,4,2,2,2,7,3,7,7
48,2,3,4,2,2,2,7,3,7,7
49,2,3,4,2,2,2,7,3,7,7
50,2,3,4,2,2,1,7,2,7,7
51,2,3,4,2,2,2,7,3,7,7
52,2,3,4,2,1,1,7,1,7,7
53,2,3,4,2,2,1,7,2,7,7
54,2,3,4,2,2,1,7,2,7,7
55,2,3,4,2,1,1,7,1,7,7
56,2,3,4,2,2,1,7,2,7,7
57,2,3,4,2,2,1,7,2,7,7
58,2,3,4,2,1,1,7,1,7,7
59,2,3,4,2,1,1,7,1,7,7
60,2,3,4,2,2,1,7,2,7,7
61,2,3,4,2,1,2,7,2,7,7
62,2,3,4,2,1,2,7,2,7,7
63,2,3,4,2,1,1,7,1,7,7
64,2,3,4,2,1,2,7,2,7,7
65,2,3,4,2,2,2,7,3,7,7
66,2,3,4,2,1,2,7,2,7,7
67,2,3,4,2,1,2,7,2,7,7
68,2,3,4,2,1,1,7,1,7,7
69,2,3,4,2,1,1,7,1,7,7
70,2,3,4,2,1,1,7,1,7,7
71,2,3,4,2,2,2,7,3,7,7
72,2,3,4,2,2,1,7,2,7,7
73,2,3,4,2,2,1,7,2,7,7
74,2,3,4,2,2,1,7,2,7,7
75,2,3,4,2,2,1,7,2,7,7
76,2,3,4,2,2,1,7,2,7,7
77,2,3,4,2,2,1,7,2,7,7
78,2,3,4,2,2,1,7,2,7,7
79,2,3,4,2,2,1,7,2,7,7
80,2,3,4,2,2,1,7,2,7,7
81,2,3,4,2,2,1,7,2,7,7
82,2,3,4,2,2,1,7,2,7,7
83,2,3,4,2,2,1,7,2,7,7
84,2,3,4,2,2,2,7,3,7,7
85,2,3,4,2,1,1,7,1,7,7
86,2,3,4,2,2,2,7,3,7,7
87,2,3,4,2,2,2,7,3,7,7
88,2,3,4,2,2,1,7,2,7,7
89,2,3,4,2,2,1,7,2,7,7
90,2,3,4,2,2,2,7,3,7,7
91,2,3,4,2,2,1,7,2,7,7
92,2,3,4,2,2,1,7,2,7,7
93,2,3,4,2,2,2,7,3,7,7
94,2,3,4,2,2,2,7,3,7,7
95,2,3,4,2,1,1,7,1,7,7
96,2,3,4,2,2,2,7,3,7,7
97,2,3,4,2,2,2,7,3,7,7
98,2,3,4,2,2,2,7,3,7,7
99,2,3,4,2,2,2,7,3,7,7
100,2,3,4,2,2,2,7,3,7,7
101,2,3,4,2,2,2,7,3,7,7
102,2,3,4,2,2,2,7,3,7,7
103,2,3,4,2,2,2,7,3,7,7
104,2,3,4,2,1,2,7,2,7,7
105,2,3,4,2,2,2,7,3,7,7
106,2,3,4,2,2,2,7,3,7,7
107,2,3,4,2,1,2,7,2,7,7
108,2,3,4,2,1,2,7,2,7,7
109,2,3,4,2,1,2,7,2,7,7
110,2,3,4,2,1,2,7,2,7,7
111,2,3,4,2,1,2,7,2,7,7
112,2,3,4,2,1,2,7,2,7,7
113,2,3,4,2,2,2,7,3,7,7
114,2,3,4,2,2,2,7,3,7,7
115,2,3,4,2,1,1,7,1,7,7
116,2,3,4,2,1,2,7,2,7,7
117,2,3,4,2,1,2,7,2,7,7
118,2,3,4,2,2,2,7,3,7,7
119,2,3,4,2,1,1,7,1,7,7
120,2,3,4,2,1,1,7,1,7,7
121,2,3,4,2,1,1,7,1,7,7
122,2,3,4,2,1,1,7,1,7,7
123,2,3,4,2,1,1,7,1,7,7
124,2,3,4,2,1,1,7,1,7,7
125,2,3,4,2,1,1,7,1,7,7
126,2,3,4,2,1,1,7,1,7,7
127,2,3,4,2,1,1,7,1,7,7
128,2,3,4,2,1,1,7,1,7,7
129,2,3,4,2,1,1,7,1,7,7
130,2,3,4,2,1,1,7,1,7,7
131,2,3,4,2,1,1,7,1,7,7
132,2,3,4,2,1,1,7,1,7,7
133,2,3,4,2,1,1,7,1,7,7
134,2,3,4,2,1,1,7,1,7,7
135,2,3,4,2,1,1,7,1,7,7
136,2,3,4,2,1,1,7,1,7,7
137,2,3,4,2,1,1,7,1,7,7
138,2,3,4,2,1,1,7,1,7,7
139,2,3,4,2,1,1,7,1,7,7
140,2,3,4,2,1,1,7,1,7,7
141,2,3,4,2,2,1,7,2,7,7
142,2,3,4,2,1,1,7,1,7,7
143,2,3,4,2,1,1,7,1,7,7
144,2,3,4,2,2,1,7,2,7,7
145,2,3,4,2,2,1,7,2,7,7
