frame,Neck,Trunk,Leg,UpperArm,LowerArm,Wrist,A,B,C,Final
0,2,3,4,2,2,2,7,3,7,7
1,2,3,4,2,2,2,7,3,7,7
2,2,3,4,2,2,2,7,3,7,7
3,2,3,4,2,1,2,7,2,7,7
4,2,3,4,2,2,2,7,3,7,7
5,2,3,4,2,2,3,7,4,8,8
6,2,3,4,2,2,3,7,4,8,8
7,2,3,4,2,2,3,7,4,8,8
8,2,3,4,2,2,3,7,4,8,8
9,2,3,4,2,1,3,7,3,7,7
10,2,3,4,2,1,3,7,3,7,7
11,2,3,4,2,1,3,7,3,7,7
12,2,3,4,2,1,3,7,3,7,7
13,2,3,4,2,1,3,7,3,7,7
14,2,3,4,2,1,3,7,3,7,7
15,2,3,4,2,1,3,7,3,7,7
16,2,3,4,2,1,3,7,3,7,7
17,2,3,4,2,1,3,7,3,7,7
18,2,3,4,2,1,3,7,3,7,7
19,2,3,4,2,1,3,7,3,7,7
20,2,3,4,2,1,3,7,3,7,7
21,2,3,4,2,1,3,7,3,7,7
22,2,3,4,2,1,3,7,3,7,7
23,2,3,4,2,1,2,7,2,7,7
24,2,3,4,2,1,2,7,2,7,7
25,2,3,4,2,1,2,7,2,7,7
26,2,3,4,2,1,2,7,2,7,7
27,2,3,4,2,1,2,7,2,7,7
28,2,3,4,2,1,3,7,3,7,7
29,1,3,4,2,2,3,6,4,7,7
30,1,3,4,3,2,3,6,5,8,8
31,2,3,4,2,2,2,7,3,7,7
32,1,3,4,2,2,2,6,3,6,6
33,1,3,4,2,2,2,6,3,6,6
34,1,3,4,2,2,3,6,4,7,7
35,1,3,4,2,2,3,6,4,7,7
36,1,3,4,2,1,2,6,2,6,6
37,1,3,4,2,1,2,6,2,6,6
38,1,3,4,2,1,2,6,2,6,6
39,1,3,4,2,1,2,6,2,6,6
40,1,3,4,2,1,2,6,2,6,6
41,1,3,4,2,1,2,6,2,6,6
42,1,3,4,2,1,2,6,2,6,6
43,1,3,4,2,1,3,6,3,6,6
44,1,3,4,2,1,2,6,2,6,6
45,1,3,4,2,1,3,6,3,6,6
46,1,3,4,2,1,3,6,3,6,6
47,1,3,4,2,1,2,6,2,6,6
48,1,3,4,2,1,3,6,3,6,6
49,1,3,4,3,1,2,6,4,7,7
50,1,3,4,2,1,2,6,2,6,6
51,1,3,4,2,1,3,6,3,6,6
52,1,3,4,2,1,2,6,2,6,6
53,1,3,4,2,1,3,6,3,6,6
54,1,3,4,2,2,2,6,3,6,6
55,1,3,4,2,2,3,6,4,7,7
56,1,3,4,2,2,2,6,3,6,6
57,1,3,4,2,1,3,6,3,6,6
58,1,3,4,2,1,2,6,2,6,6
59,2,3,4,2,1,2,7,2,7,7
60,2,3,4,2,1,2,7,2,7,7
61,2,3,4,2,1,2,7,2,7,7
62,2,3,4,2,1,2,7,2,7,7
63,2,3,4,3,1,2,7,4,8,8
64,2,3,4,2,1,2,7,2,7,7
65,2,3,4,2,1,2,7,2,7,7
66,2,3,4,2,1,2,7,2,7,7
67,2,3,4,2,1,2,7,2,7,7
68,2,3,4,2,1,2,7,2,7,7
69,2,3,4,2,1,2,7,2,7,7
70,2,3,4,2,1,2,7,2,7,7
71,2,3,4,2,1,2,7,2,7,7
72,2,3,4,2,1,2,7,2,7,7
73,2,3,4,2,1,2,7,2,7,7
74,2,3,4,2,1,2,7,2,7,7
75,1,3,4,2,1,2,6,2,6,6
76,1,3,4,3,1,2,6,4,7,7
77,1,3,4,3,2,2,6,5,8,8
78,1,3,4,2,1,2,6,2,6,6
79,1,3,4,3,2,2,6,5,8,8
80,1,3,4,3,2,2,6,5,8,8
81,1,3,4,3,1,2,6,4,7,7
82,1,3,4,2,1,2,6,2,6,6
83,1,3,4,3,2,2,6,5,8,8
84,1,3,4,3,2,2,6,5,8,8
85,1,3,4,3,2,2,6,5,8,8
86,1,3,4,3,2,2,6,5,8,8
87,1,3,4,3,2,2,6,5,8,8
88,1,3,4,3,2,2,6,5,8,8
89,1,3,4,3,2,2,6,5,8,8
90,1,3,4,3,2,2,6,5,8,8
91,1,3,4,3,2,2,6,5,8,8
92,1,3,4,3,2,2,6,5,8,8
93,1,3,4,3,1,2,6,4,7,7
94,1,3,4,3,1,2,6,4,7,7
95,1,3,4,3,1,2,6,4,7,7
96,1,3,4,3,1,2,6,4,7,7
97,1,3,4,2,1,2,6,2,6,6
98,1,3,4,2,1,2,6,2,6,6
99,1,3,4,3,1,2,6,4,7,7
100,1,3,4,3,1,3,6,5,8,8
101,1,3,4,3,2,3,6,5,8,8
102,2,3,4,3,2,3,7,5,9,9
103,2,3,4,3,2,3,7,5,9,9
104,2,3,4,3,2,3,7,5,9,9
105,2,3,4,3,2,3,7,5,9,9
106,2,3,4,3,2,3,7,5,9,9
107,2,3,4,3,2,3,7,5,9,9
108,2,3,4,3,2,3,7,5,9,9
109,2,3,4,3,2,3,7,5,9,9
110,2,3,4,3,2,3,7,5,9,9
111,2,3,4,3,2,3,7,5,9,9
