start_frame,end_frame,look_at_frame,part,keep
121,222,171,Whole Body,YES
356,421,388,Whole Body,YES
543,575,559,Whole Body,YES
983,1027,1005,Whole Body,YES
1111,1428,1269,Whole Body,YES
1447,1493,1470,Whole Body,YES
1562,1775,1668,Whole Body,YES
1812,1903,1857,Whole Body,YES
1951,2283,2117,Whole Body,YES
2288,2456,2372,Whole Body,YES
2523,2608,2565,Whole Body,YES
2718,2772,2745,Whole Body,YES
3266,3399,3332,Whole Body,YES
3569,3601,3585,Whole Body,YES
3958,4211,4084,Whole Body,YES
4362,4439,4400,Whole Body,YES
4464,4948,4706,Whole Body,YES
5034,5111,5072,Whole Body,YES
