interval_id,start_frame,end_frame,start_sec,end_sec,dur_s
1,121,222,4.0,7.4,3.4
2,356,421,11.9,14.0,2.2
3,543,575,18.1,19.2,1.1
4,983,1027,32.8,34.2,1.5
5,1111,1428,37.0,47.6,10.6
6,1447,1493,48.2,49.8,1.6
7,1562,1775,52.1,59.2,7.1
8,1812,1903,60.4,63.4,3.1
9,1951,2283,65.0,76.1,11.1
10,2288,2456,76.3,81.9,5.6
11,2523,2608,84.1,86.9,2.9
12,2718,2772,90.6,92.4,1.8
13,3266,3399,108.9,113.3,4.5
14,3569,3601,119.0,120.0,1.1
15,3958,4211,131.9,140.4,8.5
16,4362,4439,145.4,148.0,2.6
17,4464,4948,148.8,164.9,16.2
18,5034,5111,167.8,170.4,2.6
