start_frame,end_frame,look_at_frame,part,keep
0,750,375,Whole Body,YES
1145,1382,1263,Whole Body,YES
1616,1715,1665,Whole Body,YES
1963,2144,2053,Whole Body,YES
2545,3380,2962,Whole Body,YES
3582,4534,4058,Whole Body,YES
4651,5774,5212,Whole Body,YES
5974,6244,6109,Whole Body,YES
6441,6633,6537,Whole Body,YES
6778,7665,7221,Whole Body,YES
7783,7909,7846,Whole Body,YES
8481,8522,8501,Whole Body,YES
8872,8996,8934,Whole Body,YES
9192,9420,9306,Whole Body,YES
9526,9902,9714,Whole Body,YES
10068,10100,10084,Whole Body,YES
10220,10339,10279,Whole Body,YES
10452,10506,10479,Whole Body,YES
