interval_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,neck_flex,trunk_flex,trunk_bend,trunk_twist,knee_L,knee_R,uparm_L,uparm_R,lowarm_L,lowarm_R,wrist_L,wrist_R,verified
1,0,68,0.0,2.3,2.3,34,1,0,1,1,1,1,0,1,0,0,0,1,NO
2,1214,1290,40.5,43.0,2.6,1252,0,0,1,1,0,1,0,0,0,0,0,0,NO
3,2552,2736,85.1,91.2,6.2,2644,0,0,1,1,0,1,0,0,0,0,1,0,NO
4,3178,3340,105.9,111.3,5.4,3259,0,0,1,1,1,1,0,0,0,0,0,0,NO
5,4019,4163,134.0,138.8,4.8,4091,1,1,1,1,1,1,0,0,0,0,0,1,NO
6,4494,4544,149.8,151.5,1.7,4519,1,0,1,1,1,0,0,0,0,0,1,1,NO
7,4713,4801,157.1,160.0,3.0,4757,1,1,1,1,0,0,0,0,0,0,0,0,NO
8,4850,4881,161.7,162.7,1.1,4865,1,1,1,1,0,0,0,0,0,0,1,1,NO
9,5021,5104,167.4,170.1,2.8,5062,1,0,1,1,1,0,0,0,0,0,0,0,NO
10,5136,5178,171.2,172.6,1.4,5157,1,0,1,1,0,1,0,0,0,0,0,1,NO
11,5580,5711,186.0,190.4,4.4,5645,1,0,1,1,1,1,0,0,0,0,0,0,NO
12,6906,6939,230.2,231.3,1.1,6922,1,1,1,1,0,1,0,0,0,0,0,1,NO
13,7174,7256,239.1,241.9,2.8,7215,0,1,1,1,0,0,0,0,0,0,0,0,NO
