interval_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,neck_flex,trunk_flex,trunk_bend,trunk_twist,knee_L,knee_R,uparm_L,uparm_R,lowarm_L,lowarm_R,wrist_L,wrist_R,verified
1,121,222,4.0,7.4,3.4,171,0,1,1,1,0,0,0,0,0,0,1,1,NO
2,356,421,11.9,14.0,2.2,388,0,1,1,1,0,0,0,0,0,0,0,1,NO
3,543,575,18.1,19.2,1.1,559,0,0,1,0,1,0,0,0,0,0,1,0,NO
4,983,1027,32.8,34.2,1.5,1005,1,0,1,1,1,1,1,0,0,0,1,0,NO
5,1111,1428,37.0,47.6,10.6,1269,1,1,1,1,0,1,0,0,0,1,1,1,NO
6,1447,1493,48.2,49.8,1.6,1470,1,1,1,1,0,0,0,1,0,1,1,1,NO
7,1562,1775,52.1,59.2,7.1,1668,1,1,1,1,0,1,0,0,1,0,1,1,NO
8,1812,1903,60.4,63.4,3.1,1857,1,0,1,1,0,1,0,0,0,0,1,1,NO
9,1951,2283,65.0,76.1,11.1,2117,1,1,1,1,0,0,0,0,0,0,1,1,NO
10,2288,2456,76.3,81.9,5.6,2372,0,0,1,1,1,1,0,0,0,1,1,1,NO
11,2523,2608,84.1,86.9,2.9,2565,0,1,1,1,0,0,0,0,0,0,0,1,NO
12,2718,2772,90.6,92.4,1.8,2745,1,1,1,1,0,0,0,0,0,0,1,1,NO
13,3266,3399,108.9,113.3,4.5,3332,0,1,1,0,0,0,0,0,0,0,1,0,NO
14,3569,3601,119.0,120.0,1.1,3585,1,1,1,1,0,0,0,0,0,0,0,1,NO
15,3958,4211,131.9,140.4,8.5,4084,1,0,1,1,1,1,0,0,0,0,0,1,NO
16,4362,4439,145.4,148.0,2.6,4400,0,1,1,1,0,0,0,0,0,0,1,0,NO
17,4464,4948,148.8,164.9,16.2,4706,1,1,1,1,0,0,0,0,0,0,1,1,NO
18,5034,5111,167.8,170.4,2.6,5072,1,1,1,1,0,0,0,0,0,0,0,0,NO
