interval_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,neck_flex,trunk_flex,trunk_bend,trunk_twist,knee_L,knee_R,uparm_L,uparm_R,lowarm_L,lowarm_R,wrist_L,wrist_R,verified
1,368,423,12.3,14.1,1.9,395,1,0,1,1,1,0,0,0,0,0,0,0,NO
2,751,1313,25.0,43.8,18.8,1032,0,1,1,1,1,1,0,0,0,0,0,0,NO
3,1902,1970,63.4,65.7,2.3,1936,0,1,1,1,0,0,0,0,0,0,0,0,NO
4,2220,3607,74.0,120.2,46.3,2913,0,0,1,1,1,1,0,0,0,0,0,0,NO
5,4021,4112,134.0,137.1,3.1,4066,0,1,1,1,0,0,0,0,0,0,0,0,NO
6,5322,5548,177.4,184.9,7.6,5435,1,0,1,1,1,1,0,0,0,0,0,0,NO
7,5969,6006,199.0,200.2,1.3,5987,1,0,1,1,0,1,0,0,0,0,0,0,NO
8,6009,6040,200.3,201.3,1.1,6024,1,0,1,1,1,0,0,0,0,0,1,0,NO
9,6893,7049,229.8,235.0,5.2,6971,1,0,1,1,1,1,0,0,0,0,1,0,NO
10,7841,7965,261.4,265.5,4.2,7903,1,0,1,1,0,1,0,0,0,0,1,0,NO
11,8319,8349,277.3,278.3,1.0,8334,1,0,1,1,0,1,0,0,0,0,1,0,NO
