interval_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,neck_flex,trunk_flex,trunk_bend,trunk_twist,knee_L,knee_R,uparm_L,uparm_R,lowarm_L,lowarm_R,wrist_L,wrist_R,verified
1,0,750,0.0,25.0,25.0,375,1,1,1,1,1,1,0,0,0,0,0,0,NO
2,1145,1382,38.2,46.1,7.9,1263,1,1,1,1,1,0,0,0,0,0,0,0,NO
3,1616,1715,53.9,57.2,3.3,1665,1,1,1,1,1,0,0,0,0,0,0,0,NO
4,1963,2144,65.4,71.5,6.1,2053,1,1,1,1,1,1,0,0,0,0,0,0,NO
5,2545,3380,84.8,112.7,27.9,2962,1,1,1,1,1,1,1,1,0,0,0,0,NO
6,3582,4534,119.4,151.1,31.8,4058,1,1,1,1,1,1,0,0,0,0,0,0,NO
7,4651,5774,155.0,192.5,37.5,5212,1,1,1,1,1,1,1,1,0,0,0,0,NO
8,5974,6244,199.1,208.1,9.0,6109,1,1,1,1,1,1,0,0,0,0,0,0,NO
9,6441,6633,214.7,221.1,6.4,6537,0,1,1,1,1,1,0,0,0,0,0,0,NO
10,6778,7665,225.9,255.5,29.6,7221,0,1,1,1,1,1,0,0,0,0,0,0,NO
11,7783,7909,259.4,263.6,4.2,7846,1,1,1,1,0,1,0,0,0,0,0,0,NO
12,8481,8522,282.7,284.1,1.4,8501,0,1,1,1,1,0,0,0,0,0,0,0,NO
13,8872,8996,295.7,299.9,4.2,8934,1,1,1,1,1,1,1,1,0,0,0,0,NO
14,9192,9420,306.4,314.0,7.6,9306,0,1,1,1,0,0,0,0,0,0,0,0,NO
15,9526,9902,317.5,330.1,12.6,9714,1,0,1,1,1,1,0,0,0,0,0,0,NO
16,10068,10100,335.6,336.7,1.1,10084,1,1,1,1,0,0,0,0,0,0,0,0,NO
17,10220,10339,340.7,344.6,4.0,10279,0,1,1,1,0,0,0,0,0,0,0,0,NO
18,10452,10506,348.4,350.2,1.8,10479,1,1,1,1,1,1,1,1,1,1,0,0,NO
