Category,Part,start_frame,end_frame,duration_sec
Total,Whole Body,0,216,7.23
Total,Whole Body,954,1103,5.1
Total,Whole Body,1231,1371,4.7
Total,Whole Body,1498,1682,6.17
Total,Whole Body,2265,2449,6.17
Total,Whole Body,2602,2744,4.77
Total,Whole Body,2861,3085,7.5
Total,Whole Body,3146,3313,5.6
Total,Whole Body,3446,3623,5.93
Part,Neck,0,216,7.23
Part,Neck,954,1103,5.1
Part,Neck,1506,1682,5.9
Part,Neck,2265,2449,6.17
Part,Neck,3146,3313,5.6
Part,Neck,3446,3623,5.93
Part,Trunk,1231,1371,4.7
Part,Trunk,1498,1670,5.77
Part,Trunk,2602,2744,4.77
Part,Trunk,2861,3085,7.5
Part,Arms (L),1513,1667,5.17
Part,Arms (L),2602,2734,4.43
Part,Arms (L),2919,3042,4.13
