start_frame,end_frame,look_at_frame,keep
234,424,329,YES
424,738,581,YES
738,880,809,YES
880,1144,1012,YES
1144,1271,1207,YES
1271,1467,1369,YES
1467,1654,1560,YES
1654,1873,1763,YES
1873,2183,2028,YES
2183,2305,2244,YES
2305,2455,2380,YES
2455,2742,2598,YES
2742,3217,2979,YES
3217,3340,3278,YES
3340,3534,3437,YES
3534,3741,3637,YES
3741,3955,3848,YES
3955,4093,4024,YES
4093,4339,4216,YES
4339,4556,4447,YES
4556,4684,4620,YES
4684,4901,4792,YES
4901,5096,4998,YES
5096,5310,5203,YES
5310,5487,5398,YES
5487,5614,5550,YES
5614,5783,5698,YES
5783,5955,5869,YES
5955,6164,6059,YES
6164,6330,6247,YES
6330,6539,6434,YES
6539,6745,6642,YES
6745,6967,6856,YES
