rep_id,start_frame,end_frame,support_raters,start_sec,end_sec
1,234,424,3,7.8,14.1
2,424,738,3,14.1,24.6
3,738,880,3,24.6,29.3
4,880,1144,3,29.3,38.1
5,1144,1271,3,38.1,42.4
6,1271,1467,3,42.4,48.9
7,1467,1654,3,48.9,55.1
8,1654,1873,3,55.1,62.4
9,1873,2183,3,62.4,72.8
10,2183,2305,3,72.8,76.8
11,2305,2455,3,76.8,81.8
12,2455,2742,3,81.8,91.4
13,2742,3217,3,91.4,107.2
14,3217,3340,3,107.2,111.3
15,3340,3534,3,111.3,117.8
16,3534,3741,3,117.8,124.7
17,3741,3955,3,124.7,131.8
18,3955,4093,3,131.8,136.4
19,4093,4339,3,136.4,144.6
20,4339,4556,3,144.6,151.9
21,4556,4684,3,151.9,156.1
22,4684,4901,3,156.1,163.4
23,4901,5096,3,163.4,169.9
24,5096,5310,3,169.9,177.0
25,5310,5487,3,177.0,182.9
26,5487,5614,3,182.9,187.1
27,5614,5783,3,187.1,192.8
28,5783,5955,3,192.8,198.5
29,5955,6164,3,198.5,205.5
30,6164,6330,3,205.5,211.0
31,6330,6539,3,211.0,218.0
32,6539,6745,3,218.0,224.8
33,6745,6967,3,224.8,232.2
