start_frame,end_frame,look_at_frame,keep
240,395,317,YES
395,514,454,YES
514,681,597,YES
681,870,775,YES
870,1013,941,YES
1013,1457,1235,YES
1457,1691,1574,YES
1691,1805,1748,YES
1805,1958,1881,YES
1958,2241,2099,YES
2241,2403,2322,YES
2403,2543,2473,YES
2543,2705,2624,YES
2705,2849,2777,YES
2849,3079,2964,YES
3079,3276,3177,YES
3276,3390,3333,YES
3390,3619,3504,YES
3619,3847,3733,YES
3847,4221,4034,YES
4221,4373,4297,YES
4373,4695,4534,YES
4695,4867,4781,YES
4867,4988,4927,YES
