rep_id,start_frame,end_frame,support_raters,start_sec,end_sec
1,240,395,3,8.0,13.2
2,395,514,3,13.2,17.1
3,514,681,3,17.1,22.7
4,681,870,3,22.7,29.0
5,870,1013,3,29.0,33.8
6,1013,1457,3,33.8,48.6
7,1457,1691,3,48.6,56.4
8,1691,1805,3,56.4,60.2
9,1805,1958,3,60.2,65.3
10,1958,2241,3,65.3,74.7
11,2241,2403,3,74.7,80.1
12,2403,2543,3,80.1,84.8
13,2543,2705,3,84.8,90.2
14,2705,2849,3,90.2,95.0
15,2849,3079,3,95.0,102.6
16,3079,3276,3,102.6,109.2
17,3276,3390,3,109.2,113.0
18,3390,3619,3,113.0,120.6
19,3619,3847,3,120.6,128.2
20,3847,4221,3,128.2,140.7
21,4221,4373,3,140.7,145.8
22,4373,4695,3,145.8,156.5
23,4695,4867,3,156.5,162.2
24,4867,4988,3,162.2,166.3
