start_frame,end_frame,look_at_frame,keep
107,303,205,YES
303,517,410,YES
517,671,594,YES
671,848,759,YES
848,1012,930,YES
1012,1178,1095,YES
1178,1550,1364,YES
1550,1832,1691,YES
1832,2256,2043,YES
2256,2507,2381,YES
2507,2727,2617,YES
2727,2973,2850,YES
2973,3249,3111,YES
3249,3452,3350,YES
3452,4030,3741,YES
4030,4193,4111,YES
4193,4353,4273,YES
4353,4510,4431,YES
4510,4653,4581,YES
4653,4885,4769,YES
4885,5075,4980,YES
5075,5220,5147,YES
5220,5377,5298,YES
5377,5589,5483,YES
5589,5836,5712,YES
5836,6016,5926,YES
6016,6305,6160,YES
6305,6595,6450,YES
6595,6829,6712,YES
6829,7022,6925,YES
7022,7201,7111,YES
7201,7362,7281,YES
7362,7528,7445,YES
7528,7791,7659,YES
7791,8010,7900,YES
8010,8174,8092,YES
8174,8346,8259,YES
