rep_id,start_frame,end_frame,support_raters,start_sec,end_sec
1,107,303,3,3.6,10.1
2,303,517,3,10.1,17.2
3,517,671,3,17.2,22.4
4,671,848,3,22.4,28.3
5,848,1012,3,28.3,33.7
6,1012,1178,3,33.7,39.3
7,1178,1550,3,39.3,51.7
8,1550,1832,3,51.7,61.1
9,1832,2256,3,61.1,75.2
10,2256,2507,3,75.2,83.6
11,2507,2727,3,83.6,90.9
12,2727,2973,3,90.9,99.1
13,2973,3249,3,99.1,108.3
14,3249,3452,3,108.3,115.1
15,3452,4030,3,115.1,134.3
16,4030,4193,3,134.3,139.8
17,4353,4510,3,145.1,150.3
18,4653,4885,3,155.1,162.8
19,4885,5075,3,162.8,169.2
20,5147,5298,3,171.6,176.6
21,5377,5589,3,179.2,186.3
22,5589,5836,3,186.3,194.5
23,5836,6016,3,194.5,200.5
24,6016,6305,3,200.5,210.2
25,6305,6595,3,210.2,219.8
26,6595,6829,3,219.8,227.6
27,6829,7022,3,227.6,234.1
28,7022,7201,3,234.1,240.0
29,7201,7362,3,240.0,245.4
30,7362,7528,3,245.4,250.9
31,7528,7791,3,250.9,259.7
32,7791,8010,3,259.7,267.0
33,8010,8174,3,267.0,272.5
34,8174,8346,3,272.5,278.2
