start_frame,end_frame,look_at_frame,keep
513,874,693,YES
874,1054,964,YES
1054,1314,1184,YES
1314,1533,1423,YES
1533,1839,1686,YES
1839,2229,2034,YES
2229,2435,2332,YES
2435,2601,2518,YES
2601,3372,2986,YES
3372,3738,3554,YES
3738,4175,3956,YES
4175,4804,4489,YES
4804,5011,4907,YES
5011,5820,5415,YES
5820,6039,5929,YES
6039,6365,6202,YES
6365,6532,6448,YES
6532,6706,6619,YES
6706,7478,7092,YES
7478,7829,7653,YES
7829,8067,7948,YES
8067,8464,8265,YES
8464,9022,8743,YES
9022,9495,9258,YES
9495,9933,9714,YES
9933,10307,10120,YES
