rep_id,start_frame,end_frame,support_raters,start_sec,end_sec
1,513,874,3,17.1,29.1
2,874,1054,3,29.1,35.1
3,1054,1314,3,35.1,43.8
4,1314,1533,3,43.8,51.1
5,1533,1839,3,51.1,61.3
6,1839,2229,3,61.3,74.3
7,2229,2435,3,74.3,81.2
8,2435,2601,3,81.2,86.7
9,2601,3372,3,86.7,112.4
10,3372,3738,3,112.4,124.6
11,3738,4175,3,124.6,139.2
12,4175,4804,3,139.2,160.1
13,4804,5011,3,160.1,167.0
14,5011,5820,3,167.0,194.0
15,5820,6039,3,194.0,201.3
16,6039,6365,3,201.3,212.2
17,6448,6619,3,214.9,220.6
18,6706,7478,3,223.5,249.3
19,7478,7829,3,249.3,261.0
20,7829,8067,3,261.0,268.9
21,8067,8464,3,268.9,282.1
22,8464,9022,3,282.1,300.7
23,9022,9495,3,300.7,316.5
24,9495,9933,3,316.5,331.1
25,9933,10307,3,331.1,343.6
