rep_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,source_joint,verified
1,234,424,7.8,14.1,6.33,329,upperarm.right_flexion,NO
2,424,738,14.1,24.6,10.47,581,upperarm.right_flexion,NO
3,738,880,24.6,29.3,4.73,809,upperarm.right_flexion,NO
4,880,1144,29.3,38.1,8.8,1012,upperarm.right_flexion,NO
5,1144,1271,38.1,42.4,4.23,1207,upperarm.right_flexion,NO
6,1271,1467,42.4,48.9,6.53,1369,upperarm.right_flexion,NO
7,1467,1654,48.9,55.1,6.23,1560,upperarm.right_flexion,NO
8,1654,1873,55.1,62.4,7.3,1763,upperarm.right_flexion,NO
9,1873,2183,62.4,72.8,10.33,2028,upperarm.right_flexion,NO
10,2183,2305,72.8,76.8,4.07,2244,upperarm.right_flexion,NO
11,2305,2455,76.8,81.8,5.0,2380,upperarm.right_flexion,NO
12,2455,2742,81.8,91.4,9.57,2598,upperarm.right_flexion,NO
13,2742,3217,91.4,107.2,15.83,2979,upperarm.right_flexion,NO
14,3217,3340,107.2,111.3,4.1,3278,upperarm.right_flexion,NO
15,3340,3534,111.3,117.8,6.47,3437,upperarm.right_flexion,NO
16,3534,3741,117.8,124.7,6.9,3637,upperarm.right_flexion,NO
17,3741,3955,124.7,131.8,7.13,3848,upperarm.right_flexion,NO
18,3955,4093,131.8,136.4,4.6,4024,upperarm.right_flexion,NO
19,4093,4339,136.4,144.6,8.2,4216,upperarm.right_flexion,NO
20,4339,4556,144.6,151.9,7.23,4447,upperarm.right_flexion,NO
21,4556,4684,151.9,156.1,4.27,4620,upperarm.right_flexion,NO
22,4684,4901,156.1,163.4,7.23,4792,upperarm.right_flexion,NO
23,4901,5096,163.4,169.9,6.5,4998,upperarm.right_flexion,NO
24,5096,5310,169.9,177.0,7.13,5203,upperarm.right_flexion,NO
25,5310,5487,177.0,182.9,5.9,5398,upperarm.right_flexion,NO
26,5487,5614,182.9,187.1,4.23,5550,upperarm.right_flexion,NO
27,5614,5783,187.1,192.8,5.63,5698,upperarm.right_flexion,NO
28,5783,5955,192.8,198.5,5.73,5869,upperarm.right_flexion,NO
29,5955,6164,198.5,205.5,6.97,6059,upperarm.right_flexion,NO
30,6164,6330,205.5,211.0,5.53,6247,upperarm.right_flexion,NO
31,6330,6539,211.0,218.0,6.97,6434,upperarm.right_flexion,NO
32,6539,6745,218.0,224.8,6.87,6642,upperarm.right_flexion,NO
33,6745,6967,224.8,232.2,7.4,6856,upperarm.right_flexion,NO
