rep_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,source_joint,verified
1,107,303,3.6,10.1,6.53,205,upperarm.left_flexion,NO
2,303,517,10.1,17.2,7.13,410,upperarm.left_flexion,NO
3,517,671,17.2,22.4,5.13,594,upperarm.left_flexion,NO
4,671,848,22.4,28.3,5.9,759,upperarm.left_flexion,NO
5,848,1012,28.3,33.7,5.47,930,upperarm.left_flexion,NO
6,1012,1178,33.7,39.3,5.53,1095,upperarm.left_flexion,NO
7,1178,1550,39.3,51.7,12.4,1364,upperarm.left_flexion,NO
8,1550,1832,51.7,61.1,9.4,1691,upperarm.left_flexion,NO
9,1832,2256,61.1,75.2,14.17,2043,upperarm.left_flexion,NO
10,2256,2507,75.2,83.6,8.37,2381,upperarm.left_flexion,NO
11,2507,2727,83.6,90.9,7.33,2617,upperarm.left_flexion,NO
12,2727,2973,90.9,99.1,8.2,2850,upperarm.left_flexion,NO
13,2973,3249,99.1,108.3,9.2,3111,upperarm.left_flexion,NO
14,3249,3452,108.3,115.1,6.77,3350,upperarm.left_flexion,NO
15,3452,4030,115.1,134.3,19.27,3741,upperarm.left_flexion,NO
16,4030,4193,134.3,139.8,5.43,4111,upperarm.left_flexion,NO
17,4193,4353,139.8,145.1,5.33,4273,upperarm.left_flexion,NO
18,4353,4510,145.1,150.3,5.23,4431,upperarm.left_flexion,NO
19,4510,4653,150.3,155.1,4.77,4581,upperarm.left_flexion,NO
20,4653,4885,155.1,162.8,7.73,4769,upperarm.left_flexion,NO
21,4885,5075,162.8,169.2,6.33,4980,upperarm.left_flexion,NO
22,5075,5220,169.2,174.0,4.83,5147,upperarm.left_flexion,NO
23,5220,5377,174.0,179.2,5.23,5298,upperarm.left_flexion,NO
24,5377,5589,179.2,186.3,7.07,5483,upperarm.left_flexion,NO
25,5589,5836,186.3,194.5,8.23,5712,upperarm.left_flexion,NO
26,5836,6016,194.5,200.5,6.03,5926,upperarm.left_flexion,NO
27,6016,6305,200.5,210.2,9.63,6160,upperarm.left_flexion,NO
28,6305,6595,210.2,219.8,9.67,6450,upperarm.left_flexion,NO
29,6595,6829,219.8,227.6,7.8,6712,upperarm.left_flexion,NO
30,6829,7022,227.6,234.1,6.43,6925,upperarm.left_flexion,NO
31,7022,7201,234.1,240.0,5.97,7111,upperarm.left_flexion,NO
32,7201,7362,240.0,245.4,5.37,7281,upperarm.left_flexion,NO
33,7362,7528,245.4,250.9,5.53,7445,upperarm.left_flexion,NO
34,7528,7791,250.9,259.7,8.77,7659,upperarm.left_flexion,NO
35,7791,8010,259.7,267.0,7.3,7900,upperarm.left_flexion,NO
36,8010,8174,267.0,272.5,5.47,8092,upperarm.left_flexion,NO
37,8174,8346,272.5,278.2,5.77,8259,upperarm.left_flexion,NO
