rep_id,start_frame,end_frame,start_sec,end_sec,dur_s,look_at_frame,source_joint,verified
1,513,874,17.1,29.1,12.03,693,upperarm.right_flexion,NO
2,874,1054,29.1,35.1,6.0,964,upperarm.right_flexion,NO
3,1054,1314,35.1,43.8,8.67,1184,upperarm.right_flexion,NO
4,1314,1533,43.8,51.1,7.3,1423,upperarm.right_flexion,NO
5,1533,1839,51.1,61.3,10.2,1686,upperarm.right_flexion,NO
6,1839,2229,61.3,74.3,13.0,2034,upperarm.right_flexion,NO
7,2229,2435,74.3,81.2,6.87,2332,upperarm.right_flexion,NO
8,2435,2601,81.2,86.7,5.53,2518,upperarm.right_flexion,NO
9,2601,3372,86.7,112.4,25.7,2986,upperarm.right_flexion,NO
10,3372,3738,112.4,124.6,12.23,3554,upperarm.right_flexion,NO
11,3738,4175,124.6,139.2,14.57,3956,upperarm.right_flexion,NO
12,4175,4804,139.2,160.1,20.97,4489,upperarm.right_flexion,NO
13,4804,5011,160.1,167.0,6.9,4907,upperarm.right_flexion,NO
14,5011,5820,167.0,194.0,26.97,5415,upperarm.right_flexion,NO
15,5820,6039,194.0,201.3,7.3,5929,upperarm.right_flexion,NO
16,6039,6365,201.3,212.2,10.87,6202,upperarm.right_flexion,NO
17,6365,6532,212.2,217.7,5.57,6448,upperarm.right_flexion,NO
18,6532,6706,217.7,223.5,5.8,6619,upperarm.right_flexion,NO
19,6706,7478,223.5,249.3,25.73,7092,upperarm.right_flexion,NO
20,7478,7829,249.3,261.0,11.7,7653,upperarm.right_flexion,NO
21,7829,8067,261.0,268.9,7.93,7948,upperarm.right_flexion,NO
22,8067,8464,268.9,282.1,13.23,8265,upperarm.right_flexion,NO
23,8464,9022,282.1,300.7,18.6,8743,upperarm.right_flexion,NO
24,9022,9495,300.7,316.5,15.77,9258,upperarm.right_flexion,NO
25,9495,9933,316.5,331.1,14.6,9714,upperarm.right_flexion,NO
26,9933,10307,331.1,343.6,12.47,10120,upperarm.right_flexion,NO
